t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,0.127756,0.112862,-0.887138,1.112862,noise,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
2,1.079467,0.703642,-0.296358,1.703642,informed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
3,1.360997,2.001417,1.001417,3.001417,noise,sell_to_mm,1.001417,1,-1.001417,0.359579,0.010000,0.349579
4,1.898387,2.288723,1.288723,3.288723,informed,none,0.000000,1,-1.001417,0.896969,0.010000,0.886969
5,0.384187,0.979562,-0.020438,1.979562,informed,none,0.000000,1,-1.001417,-0.617230,0.010000,-0.627230
6,0.868328,0.450043,-0.549957,1.450043,noise,sell_to_mm,-0.549957,2,-0.451460,1.285195,0.040000,1.245195
7,1.750011,1.896849,0.896849,2.896849,noise,none,0.000000,2,-0.451460,3.048563,0.040000,3.008563
8,1.685985,0.922363,-0.077637,1.922363,noise,buy_from_mm,1.922363,1,1.470903,3.156888,0.010000,3.146888
9,0.827241,0.730333,-0.269667,1.730333,informed,none,0.000000,1,1.470903,2.298145,0.010000,2.288145
10,1.739108,2.022808,1.022808,3.022808,informed,none,0.000000,1,1.470903,3.210012,0.010000,3.200012
11,1.864843,1.266600,0.266600,2.266600,noise,none,0.000000,1,1.470903,3.335746,0.010000,3.325746
12,0.461748,0.093457,-0.906543,1.093457,noise,sell_to_mm,-0.906543,2,2.377446,3.300943,0.040000,3.260943
13,0.593113,0.225257,-0.774743,1.225257,informed,none,0.000000,2,2.377446,3.563673,0.040000,3.523673
14,-0.652627,-0.481784,-1.481784,0.518216,informed,none,0.000000,2,2.377446,1.072193,0.040000,1.032193
15,-0.672229,-0.540391,-1.540391,0.459609,informed,none,0.000000,2,2.377446,1.032989,0.040000,0.992989
16,-0.793415,-0.742560,-1.742560,0.257440,noise,sell_to_mm,-1.742560,3,4.120006,1.739763,0.090000,1.649763
17,0.643588,0.045000,-0.955000,1.045000,noise,sell_to_mm,-0.955000,4,5.075007,7.649358,0.160000,7.489358
18,2.057512,2.595848,1.595848,3.595848,noise,none,0.000000,4,5.075007,13.305053,0.160000,13.145053
19,1.516992,1.727624,0.727624,2.727624,informed,none,0.000000,4,5.075007,11.142977,0.160000,10.982977
20,1.340458,2.658182,1.658182,3.658182,noise,none,0.000000,4,5.075007,10.436840,0.160000,10.276840
21,2.097936,2.634226,1.634226,3.634226,noise,none,0.000000,4,5.075007,13.466752,0.160000,13.306752
22,2.396843,3.373134,2.373134,4.373134,informed,none,0.000000,4,5.075007,14.662379,0.160000,14.502379
