t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,-0.569610,1.652133,0.652133,2.652133,noise,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
2,1.025691,0.452788,-0.547212,1.452788,noise,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
3,1.833176,5.293225,4.293225,6.293225,noise,sell_to_mm,4.293225,1,-4.293225,-2.460049,0.010000,-2.470049
4,0.101203,3.522078,2.522078,4.522078,informed,sell_to_mm,2.522078,2,-6.815304,-6.612897,0.040000,-6.652897
5,1.905661,-0.727299,-1.727299,0.272701,noise,none,0.000000,2,-6.815304,-3.003982,0.040000,-3.043982
6,1.578715,3.232950,2.232950,4.232950,noise,none,0.000000,2,-6.815304,-3.657874,0.040000,-3.697874
7,-0.186342,3.820377,2.820377,4.820377,noise,buy_from_mm,4.820377,1,-1.994927,-2.181268,0.010000,-2.191268
8,-0.542522,-0.793120,-1.793120,0.206880,noise,buy_from_mm,0.206880,0,-1.788046,-1.788046,0.000000,-1.788046
9,0.225603,-0.408744,-1.408744,0.591256,informed,none,0.000000,0,-1.788046,-1.788046,0.000000,-1.788046
10,-0.282697,-2.887384,-3.887384,-1.887384,informed,buy_from_mm,-1.887384,-1,-3.675430,-3.392732,0.010000,-3.402732
11,-1.768998,-4.243283,-5.243283,-3.243283,noise,none,0.000000,-1,-3.675430,-1.906432,0.010000,-1.916432
12,-3.714196,-7.343330,-8.343330,-6.343330,noise,sell_to_mm,-8.343330,0,4.667901,4.667901,0.000000,4.667901
13,-3.798854,-1.848006,-2.848006,-0.848006,noise,none,0.000000,0,4.667901,4.667901,0.000000,4.667901
14,-4.392052,-0.229706,-1.229706,0.770294,informed,sell_to_mm,-1.229706,1,5.897607,1.505554,0.010000,1.495554
15,-4.918562,-2.929882,-3.929882,-1.929882,informed,sell_to_mm,-3.929882,2,9.827489,-0.009635,0.040000,-0.049635
16,-6.481488,-6.689732,-7.689732,-5.689732,informed,none,0.000000,2,9.827489,-3.135487,0.040000,-3.175487
17,-5.598375,-1.842414,-2.842414,-0.842414,noise,none,0.000000,2,9.827489,-1.369260,0.040000,-1.409260
18,-6.245851,-1.549664,-2.549664,-0.549664,noise,none,0.000000,2,9.827489,-2.664213,0.040000,-2.704213
19,-6.015174,-4.880683,-5.880683,-3.880683,noise,buy_from_mm,-3.880683,1,5.946806,-0.068368,0.010000,-0.078368
20,-4.297962,-8.668246,-9.668246,-7.668246,noise,none,0.000000,1,5.946806,1.648844,0.010000,1.638844
21,-3.254053,-4.384880,-5.384880,-3.384880,informed,buy_from_mm,-3.384880,0,2.561926,2.561926,0.000000,2.561926
22,-3.299721,-8.612745,-9.612745,-7.612745,informed,buy_from_mm,-7.612745,-1,-5.050819,-1.751098,0.010000,-1.761098
23,-2.094291,-0.929285,-1.929285,0.070715,noise,none,0.000000,-1,-5.050819,-2.956528,0.010000,-2.966528
24,-2.147023,-7.273072,-8.273072,-6.273072,informed,buy_from_mm,-6.273072,-2,-11.323891,-7.029846,0.040000,-7.069846
25,-2.023540,-0.887711,-1.887711,0.112289,noise,none,0.000000,-2,-11.323891,-7.276811,0.040000,-7.316811
26,-2.471691,1.240286,0.240286,2.240286,informed,sell_to_mm,0.240286,-1,-11.564177,-9.092486,0.010000,-9.102486
27,-1.783014,-1.840753,-2.840753,-0.840753,noise,sell_to_mm,-2.840753,0,-8.723424,-8.723424,0.000000,-8.723424
28,-2.022366,-6.671039,-7.671039,-5.671039,noise,none,0.000000,0,-8.723424,-8.723424,0.000000,-8.723424
29,-2.520531,-6.377601,-7.377601,-5.377601,informed,buy_from_mm,-5.377601,-1,-14.101025,-11.580494,0.010000,-11.590494
30,-1.632187,-0.981534,-1.981534,0.018466,noise,none,0.000000,-1,-14.101025,-12.468838,0.010000,-12.478838
31,-0.076830,0.175320,-0.824680,1.175320,noise,none,0.000000,-1,-14.101025,-14.024195,0.010000,-14.034195
32,-0.307996,0.512151,-0.487849,1.512151,informed,none,0.000000,-1,-14.101025,-13.793029,0.010000,-13.803029
33,-0.900462,1.703527,0.703527,2.703527,informed,sell_to_mm,0.703527,0,-14.804552,-14.804552,0.000000,-14.804552
