t,true_value,signal,bid,ask,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,-0.569610,3.873876,2.873876,4.873876,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
2,1.025691,-0.120115,-1.120115,0.879885,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
3,1.833176,8.753274,7.753274,9.753274,sell_to_mm,7.753274,1,-7.753274,-5.920098,0.010000,-5.930098
4,0.101203,6.942954,5.942954,7.942954,sell_to_mm,5.942954,2,-13.696228,-13.493822,0.040000,-13.533822
5,1.905661,-3.360259,-4.360259,-2.360259,none,0.000000,2,-13.696228,-9.884906,0.040000,-9.924906
6,1.578715,4.887185,3.887185,5.887185,none,0.000000,2,-13.696228,-10.538798,0.040000,-10.578798
7,-0.186342,7.827096,6.827096,8.827096,buy_from_mm,8.827096,1,-4.869132,-5.055474,0.010000,-5.065474
8,-0.542522,-1.043717,-2.043717,-0.043717,buy_from_mm,-0.043717,0,-4.912849,-4.912849,0.000000,-4.912849
9,0.225603,-1.043092,-2.043092,-0.043092,buy_from_mm,-0.043092,-1,-4.955941,-5.181544,0.010000,-5.191544
10,-0.282697,-5.492070,-6.492070,-4.492070,buy_from_mm,-4.492070,-2,-9.448011,-8.882616,0.040000,-8.922616
11,-1.768998,-6.717568,-7.717568,-5.717568,none,0.000000,-2,-9.448011,-5.910014,0.040000,-5.950014
12,-3.714196,-10.972465,-11.972465,-9.972465,sell_to_mm,-11.972465,-1,2.524454,6.238650,0.010000,6.228650
13,-3.798854,0.102841,-0.897159,1.102841,none,0.000000,-1,2.524454,6.323308,0.010000,6.313308
14,-4.392052,3.932641,2.932641,4.932641,sell_to_mm,2.932641,0,-0.408186,-0.408186,0.000000,-0.408186
15,-4.918562,-0.941202,-1.941202,0.058798,sell_to_mm,-1.941202,1,1.533016,-3.385546,0.010000,-3.395546
16,-6.481488,-6.897976,-7.897976,-5.897976,none,0.000000,1,1.533016,-4.948472,0.010000,-4.958472
17,-5.598375,1.913546,0.913546,2.913546,none,0.000000,1,1.533016,-4.065358,0.010000,-4.075358
18,-6.245851,3.146523,2.146523,4.146523,none,0.000000,1,1.533016,-4.712835,0.010000,-4.722835
19,-6.015174,-3.746192,-4.746192,-2.746192,buy_from_mm,-2.746192,0,-1.213176,-1.213176,0.000000,-1.213176
20,-4.297962,-13.038531,-14.038531,-12.038531,none,0.000000,0,-1.213176,-1.213176,0.000000,-1.213176
21,-3.254053,-5.515707,-6.515707,-4.515707,buy_from_mm,-4.515707,-1,-5.728883,-2.474830,0.010000,-2.484830
22,-3.299721,-13.925768,-14.925768,-12.925768,buy_from_mm,-12.925768,-2,-18.654651,-12.055210,0.040000,-12.095210
23,-2.094291,0.235722,-0.764278,1.235722,none,0.000000,-2,-18.654651,-14.466069,0.040000,-14.506069
24,-2.147023,-12.399122,-13.399122,-11.399122,buy_from_mm,-11.399122,-3,-30.053773,-23.612705,0.090000,-23.702705
25,-2.023540,0.248117,-0.751883,1.248117,none,0.000000,-3,-30.053773,-23.983153,0.090000,-24.073153
26,-2.471691,4.952263,3.952263,5.952263,sell_to_mm,3.952263,-2,-34.006036,-29.062655,0.040000,-29.102655
27,-1.783014,-1.898491,-2.898491,-0.898491,sell_to_mm,-2.898491,-1,-31.107544,-29.324530,0.010000,-29.334530
28,-2.022366,-11.319712,-12.319712,-10.319712,none,0.000000,-1,-31.107544,-29.085178,0.010000,-29.095178
29,-2.520531,-10.234671,-11.234671,-9.234671,buy_from_mm,-9.234671,-2,-40.342215,-35.301153,0.040000,-35.341153
30,-1.632187,-0.330880,-1.330880,0.669120,none,0.000000,-2,-40.342215,-37.077840,0.040000,-37.117840
31,-0.076830,0.427471,-0.572529,1.427471,none,0.000000,-2,-40.342215,-40.188555,0.040000,-40.228555
32,-0.307996,1.332297,0.332297,2.332297,sell_to_mm,0.332297,-1,-40.674513,-40.366517,0.010000,-40.376517
33,-0.900462,4.307516,3.307516,5.307516,sell_to_mm,3.307516,0,-43.982028,-43.982028,0.000000,-43.982028
34,-0.480273,4.486757,3.486757,5.486757,buy_from_mm,5.486757,-1,-38.495272,-38.014998,0.010000,-38.024998
35,0.043047,9.108399,8.108399,10.108399,sell_to_mm,8.108399,0,-46.603671,-46.603671,0.000000,-46.603671
36,1.377481,-0.850103,-1.850103,0.149897,buy_from_mm,0.149897,-1,-46.453774,-47.831256,0.010000,-47.841256
37,-0.379918,3.853203,2.853203,4.853203,none,0.000000,-1,-46.453774,-46.073856,0.010000,-46.083856
38,-0.120973,-3.242902,-4.242902,-2.242902,buy_from_mm,-2.242902,-2,-48.696676,-48.454731,0.040000,-48.494731
39,-2.480773,-5.036014,-6.036014,-4.036014,sell_to_mm,-6.036014,-1,-42.660662,-40.179889,0.010000,-40.189889
40,-1.853331,4.764577,3.764577,5.764577,none,0.000000,-1,-42.660662,-40.807331,0.010000,-40.817331
41,-0.778044,0.081493,-0.918507,1.081493,none,0.000000,-1,-42.660662,-41.882618,0.010000,-41.892618
42,-0.733704,-5.868987,-6.868987,-4.868987,none,0.000000,-1,-42.660662,-41.926958,0.010000,-41.936958
43,-0.831079,-9.414433,-10.414433,-8.414433,buy_from_mm,-8.414433,-2,-51.075095,-49.412938,0.040000,-49.452938
44,0.287926,1.876473,0.876473,2.876473,none,0.000000,-2,-51.075095,-51.650947,0.040000,-51.690947
45,-0.384483,2.277906,1.277906,3.277906,sell_to_mm,1.277906,-1,-52.353001,-51.968518,0.010000,-51.978518
