t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,-0.199917,0.986001,-0.013999,1.986001,noise,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
2,0.611583,-0.875104,-1.875104,0.124896,informed,buy_from_mm,0.124896,-1,0.124896,-0.486687,0.010000,-0.496687
3,0.637207,4.706142,3.706142,5.706142,noise,buy_from_mm,5.706142,-2,5.831038,4.556625,0.040000,4.516625
4,0.541045,0.875931,-0.124069,1.875931,noise,sell_to_mm,-0.124069,-1,5.955107,5.414062,0.010000,5.404062
5,1.853856,-5.190297,-6.190297,-4.190297,informed,buy_from_mm,-4.190297,-2,1.764810,-1.942903,0.040000,-1.982903
6,4.319325,2.918244,1.918244,3.918244,informed,buy_from_mm,3.918244,-3,5.683054,-7.274921,0.090000,-7.364921
7,3.877018,5.555788,4.555788,6.555788,noise,none,0.000000,-3,5.683054,-5.947999,0.090000,-6.037999
8,2.898995,-1.528240,-2.528240,-0.528240,noise,buy_from_mm,-0.528240,-4,5.154814,-6.441164,0.160000,-6.601164
9,4.226747,13.936072,12.936072,14.936072,noise,none,0.000000,-4,5.154814,-11.752173,0.160000,-11.912173
10,4.864385,3.439886,2.439886,4.439886,informed,buy_from_mm,4.439886,-5,9.594700,-14.727227,0.250000,-14.977227
11,6.527820,7.331922,6.331922,8.331922,noise,sell_to_mm,6.331922,-4,3.262778,-22.848503,0.160000,-23.008503
12,7.486458,8.711179,7.711179,9.711179,noise,buy_from_mm,9.711179,-5,12.973958,-24.458330,0.250000,-24.708330
13,7.122345,3.758376,2.758376,4.758376,informed,buy_from_mm,4.758376,-6,17.732334,-25.001737,0.360000,-25.361737
14,8.448736,6.668624,5.668624,7.668624,noise,none,0.000000,-6,17.732334,-32.960080,0.360000,-33.320080
15,7.696742,4.882288,3.882288,5.882288,informed,buy_from_mm,5.882288,-7,23.614622,-30.262570,0.490000,-30.752570
16,8.719527,14.067785,13.067785,15.067785,informed,sell_to_mm,13.067785,-6,10.546837,-41.770326,0.360000,-42.130326
17,9.115779,5.389234,4.389234,6.389234,noise,none,0.000000,-6,10.546837,-44.147835,0.360000,-44.507835
18,7.190263,6.252670,5.252670,7.252670,informed,none,0.000000,-6,10.546837,-32.594741,0.360000,-32.954741
19,7.617390,13.412564,12.412564,14.412564,noise,none,0.000000,-6,10.546837,-35.157504,0.360000,-35.517504
20,7.423433,13.745822,12.745822,14.745822,informed,sell_to_mm,12.745822,-5,-2.198984,-39.316149,0.250000,-39.566149
21,8.113349,13.630532,12.630532,14.630532,noise,sell_to_mm,12.630532,-4,-14.829516,-47.282912,0.160000,-47.442912
22,8.004221,8.911595,7.911595,9.911595,noise,none,0.000000,-4,-14.829516,-46.846401,0.160000,-47.006401
23,9.377836,9.940098,8.940098,10.940098,noise,none,0.000000,-4,-14.829516,-52.340858,0.160000,-52.500858
24,9.832200,14.571181,13.571181,15.571181,noise,none,0.000000,-4,-14.829516,-54.158315,0.160000,-54.318315
25,9.638786,9.232289,8.232289,10.232289,noise,none,0.000000,-4,-14.829516,-53.384660,0.160000,-53.544660
26,10.199252,6.325919,5.325919,7.325919,noise,sell_to_mm,5.325919,-3,-20.155435,-50.753190,0.090000,-50.843190
27,10.023078,12.203495,11.203495,13.203495,noise,none,0.000000,-3,-20.155435,-50.224669,0.090000,-50.314669
28,10.424244,12.937908,11.937908,13.937908,informed,sell_to_mm,11.937908,-2,-32.093342,-52.941831,0.040000,-52.981831
29,10.292191,10.780852,9.780852,11.780852,informed,none,0.000000,-2,-32.093342,-52.677724,0.040000,-52.717724
30,11.631436,12.681535,11.681535,13.681535,informed,sell_to_mm,11.681535,-1,-43.774877,-55.406313,0.010000,-55.416313
31,12.055509,10.954418,9.954418,11.954418,informed,buy_from_mm,11.954418,-2,-31.820459,-55.931476,0.040000,-55.971476
32,12.639061,16.156117,15.156117,17.156117,informed,sell_to_mm,15.156117,-1,-46.976576,-59.615637,0.010000,-59.625637
33,12.548481,16.140438,15.140438,17.140438,noise,none,0.000000,-1,-46.976576,-59.525056,0.010000,-59.535056
34,12.245396,10.593980,9.593980,11.593980,noise,buy_from_mm,11.593980,-2,-35.382595,-59.873386,0.040000,-59.913386
35,12.902583,12.371605,11.371605,13.371605,informed,none,0.000000,-2,-35.382595,-61.187762,0.040000,-61.227762
36,13.383837,18.152886,17.152886,19.152886,noise,none,0.000000,-2,-35.382595,-62.150270,0.040000,-62.190270
37,12.101145,9.105817,8.105817,10.105817,noise,sell_to_mm,8.105817,-1,-43.488412,-55.589557,0.010000,-55.599557
38,11.885927,11.639520,10.639520,12.639520,noise,none,0.000000,-1,-43.488412,-55.374339,0.010000,-55.384339
39,11.104215,17.960356,16.960356,18.960356,informed,sell_to_mm,16.960356,0,-60.448768,-60.448768,0.000000,-60.448768
40,13.367741,17.754954,16.754954,18.754954,informed,sell_to_mm,16.754954,1,-77.203722,-63.835981,0.010000,-63.845981
41,14.244207,14.428685,13.428685,15.428685,noise,none,0.000000,1,-77.203722,-62.959515,0.010000,-62.969515
42,14.134818,15.925134,14.925134,16.925134,noise,none,0.000000,1,-77.203722,-63.068904,0.010000,-63.078904
43,16.053098,9.619871,8.619871,10.619871,noise,none,0.000000,1,-77.203722,-61.150624,0.010000,-61.160624
44,16.742194,13.742580,12.742580,14.742580,noise,sell_to_mm,12.742580,2,-89.946302,-56.461914,0.040000,-56.501914
45,16.898919,11.839009,10.839009,12.839009,informed,buy_from_mm,12.839009,1,-77.107293,-60.208374,0.010000,-60.218374
46,15.118956,14.248520,13.248520,15.248520,noise,none,0.000000,1,-77.107293,-61.988337,0.010000,-61.998337
47,13.763497,16.195495,15.195495,17.195495,noise,sell_to_mm,15.195495,2,-92.302787,-64.775793,0.040000,-64.815793
48,13.507204,14.057891,13.057891,15.057891,informed,none,0.000000,2,-92.302787,-65.288379,0.040000,-65.328379
49,15.532672,15.446438,14.446438,16.446438,noise,buy_from_mm,16.446438,1,-75.856350,-60.323677,0.010000,-60.333677
50,15.619936,16.931534,15.931534,17.931534,noise,none,0.000000,1,-75.856350,-60.236413,0.010000,-60.246413
51,15.256058,11.035958,10.035958,12.035958,noise,sell_to_mm,10.035958,2,-85.892307,-55.380191,0.040000,-55.420191
52,15.716414,15.253960,14.253960,16.253960,informed,none,0.000000,2,-85.892307,-54.459479,0.040000,-54.499479
