strategy,noise,number_of_runs,avg_final_pnl,avg_final_risk_adj_pnl,avg_max_abs_inventory,avg_num_trades,avg_edge_per_trade
fixed,0.5,50,413.3037322,409.6333322,23.72,399.6,0.885987702902903
skew,0.5,50,401.50519908,400.49939908,17.74,402.14,0.8784461876460935
uncert,0.5,50,490.31055136000003,486.87775136,22.64,371.84,1.2098459395438899
fixed,1.0,50,287.64067696,282.76867696,27.74,616.68,0.3660614873840565
skew,1.0,50,260.29694706000004,259.78314706000003,17.7,618.7,0.36203595345078393
uncert,1.0,50,550.81871478,546.29491478,25.76,470.3,1.0490414151817988
fixed,2.0,50,-280.4194721,-286.5976721,32.3,858.1,-0.32471508218156386
skew,2.0,50,-226.82443888,-227.81563888,22.86,859.32,-0.32702842352092354
uncert,2.0,50,513.38347504,508.51147504,27.74,616.68,0.7321229760005188
fixed,4.0,50,-1484.9102244800001,-1493.36662448,37.5,1006.6,-1.4794002432743891
skew,4.0,50,-1476.5350412,-1478.7182412,28.8,1006.96,-1.4811632465241915
uncert,4.0,50,258.7747539,254.03555390000002,29.12,726.36,0.321607217853406
