t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,-0.899658,0.231289,-0.268711,0.731289,informed,sell_to_mm,-0.268711,1,0.268711,-0.630947,0.010000,-0.640947
2,1.080232,0.579139,0.079139,1.079139,informed,buy_from_mm,1.079139,0,1.347850,1.347850,0.000000,1.347850
3,0.902417,0.081446,-0.418554,0.581446,noise,sell_to_mm,-0.418554,1,1.766404,2.668821,0.010000,2.658821
4,0.904075,0.568943,0.068943,1.068943,informed,none,0.000000,1,1.766404,2.670479,0.010000,2.660479
5,1.475554,-0.252916,-0.752916,0.247084,noise,none,0.000000,1,1.766404,3.241958,0.010000,3.231958
6,1.072346,-0.494682,-0.994682,0.005318,noise,buy_from_mm,0.005318,0,1.771722,1.771722,0.000000,1.771722
7,-1.007952,-2.276889,-2.776889,-1.776889,noise,sell_to_mm,-2.776889,1,4.548611,3.540659,0.010000,3.530659
8,0.023179,-0.823879,-1.323879,-0.323879,informed,buy_from_mm,-0.323879,0,4.224732,4.224732,0.000000,4.224732
9,1.434863,1.064507,0.564507,1.564507,noise,sell_to_mm,0.564507,1,3.660225,5.095088,0.010000,5.085088
10,1.155030,-1.192370,-1.692370,-0.692370,noise,none,0.000000,1,3.660225,4.815255,0.010000,4.805255
11,2.249310,4.233206,3.733206,4.733206,noise,none,0.000000,1,3.660225,5.909534,0.010000,5.899534
12,3.129909,3.224168,2.724168,3.724168,noise,none,0.000000,1,3.660225,6.790134,0.010000,6.780134
13,2.697958,3.095308,2.595308,3.595308,informed,none,0.000000,1,3.660225,6.358182,0.010000,6.348182
14,3.153988,3.722393,3.222393,4.222393,informed,sell_to_mm,3.222393,2,0.437832,6.745808,0.040000,6.705808
15,3.968320,4.743306,4.243306,5.243306,noise,none,0.000000,2,0.437832,8.374472,0.040000,8.334472
16,3.053443,2.798361,2.298361,3.298361,informed,none,0.000000,2,0.437832,6.544718,0.040000,6.504718
17,4.146294,3.602359,3.102359,4.102359,informed,buy_from_mm,4.102359,1,4.540191,8.686485,0.010000,8.676485
18,3.095177,4.190612,3.690612,4.690612,noise,buy_from_mm,4.690612,0,9.230803,9.230803,0.000000,9.230803
19,4.619522,3.581361,3.081361,4.081361,informed,buy_from_mm,4.081361,-1,13.312163,8.692641,0.010000,8.682641
20,5.004926,5.042417,4.542417,5.542417,noise,none,0.000000,-1,13.312163,8.307237,0.010000,8.297237
21,6.325541,5.940282,5.440282,6.440282,informed,none,0.000000,-1,13.312163,6.986622,0.010000,6.976622
22,5.740918,5.476302,4.976302,5.976302,noise,none,0.000000,-1,13.312163,7.571245,0.010000,7.561245
23,4.348548,6.048812,5.548812,6.548812,noise,none,0.000000,-1,13.312163,8.963615,0.010000,8.953615
24,5.370611,7.709828,7.209828,8.209828,noise,buy_from_mm,8.209828,-2,21.521991,10.780769,0.040000,10.740769
25,6.131055,5.944478,5.444478,6.444478,noise,sell_to_mm,5.444478,-1,16.077513,9.946459,0.010000,9.936459
26,5.409259,5.102960,4.602960,5.602960,noise,none,0.000000,-1,16.077513,10.668254,0.010000,10.658254
27,5.912510,4.626442,4.126442,5.126442,noise,none,0.000000,-1,16.077513,10.165003,0.010000,10.155003
28,6.214575,7.348739,6.848739,7.848739,noise,sell_to_mm,6.848739,0,9.228775,9.228775,0.000000,9.228775
29,7.214448,6.896259,6.396259,7.396259,informed,none,0.000000,0,9.228775,9.228775,0.000000,9.228775
30,7.690898,8.370929,7.870929,8.870929,noise,none,0.000000,0,9.228775,9.228775,0.000000,9.228775
