t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,-0.368834,-0.180760,-2.180760,1.819240,informed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
2,0.271332,-0.953548,-2.953548,1.046452,noise,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
3,-0.859095,-2.085206,-4.085206,-0.085206,noise,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
4,-0.592097,0.843594,-1.156406,2.843594,noise,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
5,0.046025,-0.848117,-2.848117,1.151883,noise,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
6,-1.582816,-1.778624,-3.778624,0.221376,noise,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
7,-2.130016,-3.248117,-5.248117,-1.248117,noise,sell_to_mm,-5.248117,1,5.248117,3.118101,0.010000,3.108101
8,-3.043865,-4.187761,-6.187761,-2.187761,noise,none,0.000000,1,5.248117,2.204252,0.010000,2.194252
9,-2.469340,-3.121033,-5.121033,-1.121033,informed,none,0.000000,1,5.248117,2.778777,0.010000,2.768777
10,-1.736132,-1.201430,-3.201430,0.798570,informed,none,0.000000,1,5.248117,3.511985,0.010000,3.501985
11,-1.488953,-1.859709,-3.859709,0.140291,informed,none,0.000000,1,5.248117,3.759164,0.010000,3.749164
12,-2.561622,-5.341921,-7.341921,-3.341921,informed,buy_from_mm,-3.341921,0,1.906196,1.906196,0.000000,1.906196
13,-2.513496,-2.652676,-4.652676,-0.652676,informed,none,0.000000,0,1.906196,1.906196,0.000000,1.906196
14,-2.741961,-3.142163,-5.142163,-1.142163,noise,none,0.000000,0,1.906196,1.906196,0.000000,1.906196
15,-1.999283,-0.797179,-2.797179,1.202821,informed,none,0.000000,0,1.906196,1.906196,0.000000,1.906196
16,-1.331264,-0.111091,-2.111091,1.888909,informed,none,0.000000,0,1.906196,1.906196,0.000000,1.906196
17,-1.068702,-0.106486,-2.106486,1.893514,noise,none,0.000000,0,1.906196,1.906196,0.000000,1.906196
18,-2.101579,-1.719514,-3.719514,0.280486,noise,none,0.000000,0,1.906196,1.906196,0.000000,1.906196
19,-1.279671,-2.408824,-4.408824,-0.408824,informed,none,0.000000,0,1.906196,1.906196,0.000000,1.906196
20,-0.649030,-2.414109,-4.414109,-0.414109,informed,none,0.000000,0,1.906196,1.906196,0.000000,1.906196
21,1.289023,0.325341,-1.674659,2.325341,noise,none,0.000000,0,1.906196,1.906196,0.000000,1.906196
22,1.122001,2.222566,0.222566,4.222566,informed,none,0.000000,0,1.906196,1.906196,0.000000,1.906196
23,2.897990,3.555705,1.555705,5.555705,noise,none,0.000000,0,1.906196,1.906196,0.000000,1.906196
24,1.180390,0.847567,-1.152433,2.847567,informed,none,0.000000,0,1.906196,1.906196,0.000000,1.906196
25,2.743889,1.780150,-0.219850,3.780150,noise,sell_to_mm,-0.219850,1,2.126046,4.869935,0.010000,4.859935
26,3.005742,4.171495,2.171495,6.171495,noise,sell_to_mm,2.171495,2,-0.045450,5.966034,0.040000,5.926034
27,4.202360,4.162346,2.162346,6.162346,informed,none,0.000000,2,-0.045450,8.359270,0.040000,8.319270
28,4.410500,4.623288,2.623288,6.623288,noise,none,0.000000,2,-0.045450,8.775551,0.040000,8.735551
29,3.884496,4.406959,2.406959,6.406959,noise,none,0.000000,2,-0.045450,7.723542,0.040000,7.683542
30,1.875442,0.614503,-1.385497,2.614503,noise,none,0.000000,2,-0.045450,3.705434,0.040000,3.665434
31,-0.740514,-2.179653,-4.179653,-0.179653,informed,none,0.000000,2,-0.045450,-1.526478,0.040000,-1.566478
32,-0.185609,-0.211875,-2.211875,1.788125,informed,none,0.000000,2,-0.045450,-0.416667,0.040000,-0.456667
33,-1.831569,-2.566750,-4.566750,-0.566750,informed,none,0.000000,2,-0.045450,-3.708587,0.040000,-3.748587
34,-1.252598,0.349775,-1.650225,2.349775,noise,none,0.000000,2,-0.045450,-2.550645,0.040000,-2.590645
35,-1.544861,-1.996238,-3.996238,0.003762,noise,sell_to_mm,-3.996238,3,3.950788,-0.683796,0.090000,-0.773796
36,-1.522588,-0.391735,-2.391735,1.608265,noise,none,0.000000,3,3.950788,-0.616976,0.090000,-0.706976
37,-2.394956,-2.495293,-4.495293,-0.495293,informed,none,0.000000,3,3.950788,-3.234078,0.090000,-3.324078
38,-0.820155,0.372907,-1.627093,2.372907,informed,none,0.000000,3,3.950788,1.490323,0.090000,1.400323
39,-0.095818,0.278136,-1.721864,2.278136,noise,none,0.000000,3,3.950788,3.663335,0.090000,3.573335
40,-0.476628,-0.208074,-2.208074,1.791926,noise,none,0.000000,3,3.950788,2.520903,0.090000,2.430903
41,-0.729649,-0.270433,-2.270433,1.729567,noise,none,0.000000,3,3.950788,1.761842,0.090000,1.671842
42,-2.063713,-2.901386,-4.901386,-0.901386,informed,none,0.000000,3,3.950788,-2.240349,0.090000,-2.330349
43,-3.558329,-3.886665,-5.886665,-1.886665,noise,none,0.000000,3,3.950788,-6.724199,0.090000,-6.814199
44,-1.762472,-1.250691,-3.250691,0.749309,noise,buy_from_mm,0.749309,2,4.700097,1.175153,0.040000,1.135153
45,-3.649673,-3.358695,-5.358695,-1.358695,noise,none,0.000000,2,4.700097,-2.599248,0.040000,-2.639248
