t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,-0.368834,-0.180760,-1.680760,1.319240,informed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
2,0.271332,-0.953548,-2.453548,0.546452,price_sensitive_uninformed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
3,0.090530,0.173278,-1.326722,1.673278,price_sensitive_uninformed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
4,1.526220,2.164342,0.664342,3.664342,price_sensitive_uninformed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
5,1.638699,1.849308,0.349308,3.349308,informed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
6,1.442891,3.476546,1.976546,4.976546,price_sensitive_uninformed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
7,1.717296,2.080626,0.580626,3.580626,informed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
8,2.158990,2.395792,0.895792,3.895792,price_sensitive_uninformed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
9,1.507297,1.049015,-0.450985,2.549015,price_sensitive_uninformed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
10,2.212651,-0.051905,-1.551905,1.448095,price_sensitive_uninformed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
11,2.318772,0.421874,-1.078126,1.921874,price_sensitive_uninformed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
12,3.236214,1.333668,-0.166332,2.833668,price_sensitive_uninformed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
13,2.286031,0.907641,-0.592359,2.407641,price_sensitive_uninformed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
14,1.701364,1.497271,-0.002729,2.997271,price_sensitive_uninformed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
15,1.856204,0.046868,-1.453132,1.546868,price_sensitive_uninformed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
16,0.823327,1.205392,-0.294608,2.705392,price_sensitive_uninformed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
17,0.367029,0.116760,-1.383240,1.616760,price_sensitive_uninformed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
18,0.438545,-0.788576,-2.288576,0.711424,price_sensitive_uninformed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
19,0.579926,0.156815,-1.343185,1.656815,informed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
20,-1.734262,-1.901285,-3.401285,-0.401285,price_sensitive_uninformed,sell_to_mm,-3.401285,1,3.401285,1.667022,0.010000,1.657022
21,0.041727,0.699442,-0.800558,2.199442,price_sensitive_uninformed,none,0.000000,1,3.401285,3.443012,0.010000,3.433012
22,0.804836,2.368335,0.868335,3.868335,price_sensitive_uninformed,none,0.000000,1,3.401285,4.206121,0.010000,4.196121
23,1.066689,2.232443,0.732443,3.732443,price_sensitive_uninformed,none,0.000000,1,3.401285,4.467974,0.010000,4.457974
24,2.263307,2.223294,0.723294,3.723294,informed,none,0.000000,1,3.401285,5.664592,0.010000,5.654592
25,2.471448,2.684235,1.184235,4.184235,price_sensitive_uninformed,none,0.000000,1,3.401285,5.872732,0.010000,5.862732
26,1.784575,2.163281,0.663281,3.663281,price_sensitive_uninformed,none,0.000000,1,3.401285,5.185860,0.010000,5.175860
27,0.523637,2.282107,0.782107,3.782107,price_sensitive_uninformed,none,0.000000,1,3.401285,3.924922,0.010000,3.914922
28,-0.120294,0.434611,-1.065389,1.934611,informed,none,0.000000,1,3.401285,3.280991,0.010000,3.270991
29,-1.302363,-2.948323,-4.448323,-1.448323,price_sensitive_uninformed,none,0.000000,1,3.401285,2.098922,0.010000,2.088922
30,-3.515240,-2.936269,-4.436269,-1.436269,price_sensitive_uninformed,none,0.000000,1,3.401285,-0.113955,0.010000,-0.123955
31,-2.541998,-3.642204,-5.142204,-2.142204,informed,none,0.000000,1,3.401285,0.859287,0.010000,0.849287
32,-0.277883,0.205789,-1.294211,1.705789,price_sensitive_uninformed,none,0.000000,1,3.401285,3.123402,0.010000,3.113402
33,-0.378220,-0.447789,-1.947789,1.052211,price_sensitive_uninformed,none,0.000000,1,3.401285,3.023065,0.010000,3.013065
34,0.467919,0.352926,-1.147074,1.852926,price_sensitive_uninformed,none,0.000000,1,3.401285,3.869204,0.010000,3.859204
35,0.087109,0.355664,-1.144336,1.855664,price_sensitive_uninformed,sell_to_mm,-1.144336,2,4.545621,4.719839,0.040000,4.679839
36,1.341618,1.774523,0.274523,3.274523,price_sensitive_uninformed,none,0.000000,2,4.545621,7.228856,0.040000,7.188856
37,0.503944,-0.247617,-1.747617,1.252383,informed,none,0.000000,2,4.545621,5.553509,0.040000,5.513509
38,0.175609,-2.706022,-4.206022,-1.206022,price_sensitive_uninformed,none,0.000000,2,4.545621,4.896838,0.040000,4.856838
39,0.459846,-1.427355,-2.927355,0.072645,informed,buy_from_mm,0.072645,1,4.618266,5.078112,0.010000,5.068112
40,2.515767,2.739555,1.239555,4.239555,price_sensitive_uninformed,none,0.000000,1,4.618266,7.134033,0.010000,7.124033
41,3.188210,4.767695,3.267695,6.267695,informed,sell_to_mm,3.267695,2,1.350571,7.726991,0.040000,7.686991
42,2.219512,2.177831,0.677831,3.677831,price_sensitive_uninformed,none,0.000000,2,1.350571,5.789596,0.040000,5.749596
43,3.302174,2.374051,0.874051,3.874051,price_sensitive_uninformed,none,0.000000,2,1.350571,7.954919,0.040000,7.914919
44,2.222932,2.270462,0.770462,3.770462,price_sensitive_uninformed,buy_from_mm,3.770462,1,5.121033,7.343966,0.010000,7.333966
45,-1.028834,-0.561404,-2.061404,0.938596,informed,none,0.000000,1,5.121033,4.092199,0.010000,4.082199
46,-0.773275,-0.645985,-2.145985,0.854015,price_sensitive_uninformed,none,0.000000,1,5.121033,4.347758,0.010000,4.337758
47,1.838706,3.301162,1.801162,4.801162,informed,none,0.000000,1,5.121033,6.959739,0.010000,6.949739
48,1.414410,0.981487,-0.518513,2.481487,informed,none,0.000000,1,5.121033,6.535444,0.010000,6.525444
49,-0.905168,-0.525049,-2.025049,0.974951,informed,none,0.000000,1,5.121033,4.215866,0.010000,4.205866
50,-0.949682,0.334335,-1.165665,1.834335,price_sensitive_uninformed,none,0.000000,1,5.121033,4.171352,0.010000,4.161352
51,-0.019684,1.878612,0.378612,3.378612,price_sensitive_uninformed,none,0.000000,1,5.121033,5.101349,0.010000,5.091349
52,-1.178452,-2.371572,-3.871572,-0.871572,price_sensitive_uninformed,none,0.000000,1,5.121033,3.942581,0.010000,3.932581
53,-1.572701,-1.706224,-3.206224,-0.206224,informed,none,0.000000,1,5.121033,3.548333,0.010000,3.538333
54,-0.940379,-1.140234,-2.640234,0.359766,price_sensitive_uninformed,buy_from_mm,0.359766,0,5.480800,5.480800,0.000000,5.480800
55,-2.997114,-2.066820,-3.566820,-0.566820,price_sensitive_uninformed,none,0.000000,0,5.480800,5.480800,0.000000,5.480800
56,-1.917521,-2.492291,-3.992291,-0.992291,price_sensitive_uninformed,none,0.000000,0,5.480800,5.480800,0.000000,5.480800
57,0.401636,-0.528858,-2.028858,0.971142,informed,none,0.000000,0,5.480800,5.480800,0.000000,5.480800
58,0.625643,0.058360,-1.441640,1.558360,informed,none,0.000000,0,5.480800,5.480800,0.000000,5.480800
59,0.663728,0.463867,-1.036133,1.963867,price_sensitive_uninformed,buy_from_mm,1.963867,-1,7.444666,6.780938,0.010000,6.770938
60,0.731962,1.569695,0.069695,3.069695,price_sensitive_uninformed,none,0.000000,-1,7.444666,6.712704,0.010000,6.702704
61,1.800556,1.336521,-0.163479,2.836521,price_sensitive_uninformed,none,0.000000,-1,7.444666,5.644110,0.010000,5.634110
62,0.359870,0.523753,-0.976247,2.023753,price_sensitive_uninformed,none,0.000000,-1,7.444666,7.084796,0.010000,7.074796
63,0.681378,-0.356887,-1.856887,1.143113,informed,none,0.000000,-1,7.444666,6.763288,0.010000,6.753288
64,0.883970,0.857878,-0.642122,2.357878,informed,none,0.000000,-1,7.444666,6.560696,0.010000,6.550696
65,0.504127,-0.891180,-2.391180,0.608820,price_sensitive_uninformed,none,0.000000,-1,7.444666,6.940539,0.010000,6.930539
66,0.869476,1.720527,0.220527,3.220527,price_sensitive_uninformed,none,0.000000,-1,7.444666,6.575191,0.010000,6.565191
67,1.035572,0.865328,-0.634672,2.365328,price_sensitive_uninformed,none,0.000000,-1,7.444666,6.409094,0.010000,6.399094
68,-0.504665,0.987564,-0.512436,2.487564,informed,none,0.000000,-1,7.444666,7.949331,0.010000,7.939331
69,-1.428191,0.129110,-1.370890,1.629110,price_sensitive_uninformed,none,0.000000,-1,7.444666,8.872857,0.010000,8.862857
70,-1.409645,-1.735394,-3.235394,-0.235394,price_sensitive_uninformed,none,0.000000,-1,7.444666,8.854311,0.010000,8.844311
71,-1.554656,-1.257058,-2.757058,0.242942,informed,none,0.000000,-1,7.444666,8.999322,0.010000,8.989322
72,-3.215326,-4.134815,-5.634815,-2.634815,price_sensitive_uninformed,none,0.000000,-1,7.444666,10.659992,0.010000,10.649992
73,-2.413458,-3.355065,-4.855065,-1.855065,informed,none,0.000000,-1,7.444666,9.858124,0.010000,9.848124
74,-1.176787,-0.982069,-2.482069,0.517931,price_sensitive_uninformed,none,0.000000,-1,7.444666,8.621453,0.010000,8.611453
75,-0.729570,-0.627431,-2.127431,0.872569,informed,none,0.000000,-1,7.444666,8.174237,0.010000,8.164237
76,-1.964149,-2.976375,-4.476375,-1.476375,price_sensitive_uninformed,none,0.000000,-1,7.444666,9.408815,0.010000,9.398815
77,-1.252489,-2.557160,-4.057160,-1.057160,informed,none,0.000000,-1,7.444666,8.697156,0.010000,8.687156
78,-1.616992,-1.671431,-3.171431,-0.171431,informed,none,0.000000,-1,7.444666,9.061658,0.010000,9.051658
79,-1.193655,-0.497962,-1.997962,1.002038,informed,none,0.000000,-1,7.444666,8.638322,0.010000,8.628322
80,-1.613142,-0.412225,-1.912225,1.087775,informed,none,0.000000,-1,7.444666,9.057808,0.010000,9.047808
81,-1.254894,-2.259136,-3.759136,-0.759136,price_sensitive_uninformed,none,0.000000,-1,7.444666,8.699560,0.010000,8.689560
82,-1.381219,-1.967824,-3.467824,-0.467824,informed,none,0.000000,-1,7.444666,8.825886,0.010000,8.815886
83,-1.652772,-2.310144,-3.810144,-0.810144,price_sensitive_uninformed,none,0.000000,-1,7.444666,9.097439,0.010000,9.087439
84,-0.335355,-0.684787,-2.184787,0.815213,price_sensitive_uninformed,none,0.000000,-1,7.444666,7.780022,0.010000,7.770022
85,-0.513865,-2.639604,-4.139604,-1.139604,price_sensitive_uninformed,none,0.000000,-1,7.444666,7.958531,0.010000,7.948531
86,-0.154722,-0.276169,-1.776169,1.223831,price_sensitive_uninformed,sell_to_mm,-1.776169,0,9.220835,9.220835,0.000000,9.220835
87,-0.615907,0.749677,-0.750323,2.249677,price_sensitive_uninformed,none,0.000000,0,9.220835,9.220835,0.000000,9.220835
88,-1.625471,-2.782312,-4.282312,-1.282312,price_sensitive_uninformed,none,0.000000,0,9.220835,9.220835,0.000000,9.220835
89,-2.307355,-0.834897,-2.334897,0.665103,informed,none,0.000000,0,9.220835,9.220835,0.000000,9.220835
90,-1.925451,-1.885267,-3.385267,-0.385267,price_sensitive_uninformed,none,0.000000,0,9.220835,9.220835,0.000000,9.220835
91,-2.141446,-3.454396,-4.954396,-1.954396,price_sensitive_uninformed,none,0.000000,0,9.220835,9.220835,0.000000,9.220835
92,-1.686668,-0.772050,-2.272050,0.727950,informed,none,0.000000,0,9.220835,9.220835,0.000000,9.220835
93,-0.922229,-1.045228,-2.545228,0.454772,price_sensitive_uninformed,none,0.000000,0,9.220835,9.220835,0.000000,9.220835
94,-0.526547,-1.997064,-3.497064,-0.497064,price_sensitive_uninformed,none,0.000000,0,9.220835,9.220835,0.000000,9.220835
95,1.099597,1.641537,0.141537,3.141537,price_sensitive_uninformed,none,0.000000,0,9.220835,9.220835,0.000000,9.220835
96,0.853610,-1.583031,-3.083031,-0.083031,informed,buy_from_mm,-0.083031,-1,9.137804,8.284194,0.010000,8.274194
97,1.862193,2.265413,0.765413,3.765413,informed,none,0.000000,-1,9.137804,7.275611,0.010000,7.265611
98,0.461452,-1.303775,-2.803775,0.196225,price_sensitive_uninformed,none,0.000000,-1,9.137804,8.676352,0.010000,8.666352
99,0.160046,-1.005330,-2.505330,0.494670,price_sensitive_uninformed,none,0.000000,-1,9.137804,8.977758,0.010000,8.967758
100,1.036066,2.847243,1.347243,4.347243,price_sensitive_uninformed,none,0.000000,-1,9.137804,8.101739,0.010000,8.091739
101,1.451590,1.160736,-0.339264,2.660736,price_sensitive_uninformed,none,0.000000,-1,9.137804,7.686214,0.010000,7.676214
102,1.087621,-0.503415,-2.003415,0.996585,price_sensitive_uninformed,none,0.000000,-1,9.137804,8.050183,0.010000,8.040183
103,2.068583,2.133080,0.633080,3.633080,price_sensitive_uninformed,none,0.000000,-1,9.137804,7.069221,0.010000,7.059221
104,1.082017,0.639431,-0.860569,2.139431,informed,none,0.000000,-1,9.137804,8.055787,0.010000,8.045787
105,2.870046,3.090203,1.590203,4.590203,price_sensitive_uninformed,none,0.000000,-1,9.137804,6.267758,0.010000,6.257758
106,2.986188,4.303573,2.803573,5.803573,informed,none,0.000000,-1,9.137804,6.151617,0.010000,6.141617
107,5.026951,5.327301,3.827301,6.827301,price_sensitive_uninformed,none,0.000000,-1,9.137804,4.110853,0.010000,4.100853
108,4.310622,5.141423,3.641423,6.641423,price_sensitive_uninformed,sell_to_mm,3.641423,0,5.496381,5.496381,0.000000,5.496381
109,3.710165,1.830858,0.330858,3.330858,price_sensitive_uninformed,none,0.000000,0,5.496381,5.496381,0.000000,5.496381
110,3.366627,1.942484,0.442484,3.442484,informed,none,0.000000,0,5.496381,5.496381,0.000000,5.496381
111,4.643225,3.151479,1.651479,4.651479,informed,none,0.000000,0,5.496381,5.496381,0.000000,5.496381
112,5.006456,6.268347,4.768347,7.768347,informed,none,0.000000,0,5.496381,5.496381,0.000000,5.496381
113,5.597171,6.606989,5.106989,8.106989,price_sensitive_uninformed,none,0.000000,0,5.496381,5.496381,0.000000,5.496381
114,3.915992,4.463102,2.963102,5.963102,informed,none,0.000000,0,5.496381,5.496381,0.000000,5.496381
115,3.589681,2.562116,1.062116,4.062116,price_sensitive_uninformed,none,0.000000,0,5.496381,5.496381,0.000000,5.496381
116,3.206739,3.636697,2.136697,5.136697,price_sensitive_uninformed,none,0.000000,0,5.496381,5.496381,0.000000,5.496381
117,3.554934,3.073771,1.573771,4.573771,price_sensitive_uninformed,none,0.000000,0,5.496381,5.496381,0.000000,5.496381
118,3.479066,3.284344,1.784344,4.784344,informed,none,0.000000,0,5.496381,5.496381,0.000000,5.496381
119,4.362662,5.224928,3.724928,6.724928,price_sensitive_uninformed,sell_to_mm,3.724928,1,1.771453,6.134115,0.010000,6.124115
120,5.722490,3.435352,1.935352,4.935352,price_sensitive_uninformed,none,0.000000,1,1.771453,7.493943,0.010000,7.483943
121,5.423903,5.207210,3.707210,6.707210,price_sensitive_uninformed,none,0.000000,1,1.771453,7.195356,0.010000,7.185356
