t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,-0.367892,-0.504734,-2.504734,1.495266,informed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
2,-2.574352,-2.859900,-4.859900,-0.859900,price_sensitive_uninformed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
3,-0.982996,-0.700210,-2.700210,1.299790,informed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
4,-0.675345,-0.335500,-2.335500,1.664500,price_sensitive_uninformed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
5,-0.817408,-1.340924,-3.340924,0.659076,price_sensitive_uninformed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
6,0.952270,1.738720,-0.261280,3.738720,informed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
7,1.877521,-0.152605,-2.152605,1.847395,informed,buy_from_mm,1.847395,-1,1.847395,-0.030127,0.010000,-0.040127
8,2.268227,2.033973,0.033973,4.033973,price_sensitive_uninformed,none,0.000000,-1,1.847395,-0.420833,0.010000,-0.430833
9,1.772435,2.120998,0.120998,4.120998,price_sensitive_uninformed,none,0.000000,-1,1.847395,0.074960,0.010000,0.064960
10,2.240967,2.452135,0.452135,4.452135,informed,none,0.000000,-1,1.847395,-0.393572,0.010000,-0.403572
11,3.624796,5.670010,3.670010,7.670010,informed,sell_to_mm,3.670010,0,-1.822616,-1.822616,0.000000,-1.822616
12,3.560147,4.742253,2.742253,6.742253,price_sensitive_uninformed,none,0.000000,0,-1.822616,-1.822616,0.000000,-1.822616
13,2.114153,1.912148,-0.087852,3.912148,price_sensitive_uninformed,none,0.000000,0,-1.822616,-1.822616,0.000000,-1.822616
14,2.425798,2.690755,0.690755,4.690755,informed,none,0.000000,0,-1.822616,-1.822616,0.000000,-1.822616
15,1.403601,2.342894,0.342894,4.342894,informed,none,0.000000,0,-1.822616,-1.822616,0.000000,-1.822616
16,2.350423,2.130948,0.130948,4.130948,informed,none,0.000000,0,-1.822616,-1.822616,0.000000,-1.822616
17,1.800789,0.141430,-1.858570,2.141430,informed,none,0.000000,0,-1.822616,-1.822616,0.000000,-1.822616
18,1.565024,1.502907,-0.497093,3.502907,price_sensitive_uninformed,none,0.000000,0,-1.822616,-1.822616,0.000000,-1.822616
19,1.409623,2.471646,0.471646,4.471646,informed,none,0.000000,0,-1.822616,-1.822616,0.000000,-1.822616
20,0.633673,0.432913,-1.567087,2.432913,price_sensitive_uninformed,none,0.000000,0,-1.822616,-1.822616,0.000000,-1.822616
21,0.948733,1.620196,-0.379804,3.620196,price_sensitive_uninformed,none,0.000000,0,-1.822616,-1.822616,0.000000,-1.822616
22,0.009054,-1.158133,-3.158133,0.841867,informed,none,0.000000,0,-1.822616,-1.822616,0.000000,-1.822616
23,1.113313,1.089670,-0.910330,3.089670,informed,none,0.000000,0,-1.822616,-1.822616,0.000000,-1.822616
24,2.310707,0.050261,-1.949739,2.050261,price_sensitive_uninformed,none,0.000000,0,-1.822616,-1.822616,0.000000,-1.822616
25,2.114379,1.364350,-0.635650,3.364350,price_sensitive_uninformed,none,0.000000,0,-1.822616,-1.822616,0.000000,-1.822616
26,3.028859,4.320118,2.320118,6.320118,price_sensitive_uninformed,buy_from_mm,6.320118,-1,4.497503,1.468644,0.010000,1.458644
27,3.319719,4.394895,2.394895,6.394895,price_sensitive_uninformed,none,0.000000,-1,4.497503,1.177784,0.010000,1.167784
28,3.996631,3.350027,1.350027,5.350027,price_sensitive_uninformed,none,0.000000,-1,4.497503,0.500872,0.010000,0.490872
29,4.061503,3.686440,1.686440,5.686440,price_sensitive_uninformed,none,0.000000,-1,4.497503,0.435999,0.010000,0.425999
30,2.612378,4.422841,2.422841,6.422841,informed,none,0.000000,-1,4.497503,1.885124,0.010000,1.875124
31,4.068391,3.520842,1.520842,5.520842,informed,none,0.000000,-1,4.497503,0.429111,0.010000,0.419111
32,4.710760,4.419024,2.419024,6.419024,informed,none,0.000000,-1,4.497503,-0.213258,0.010000,-0.223258
33,3.315898,3.292021,1.292021,5.292021,informed,none,0.000000,-1,4.497503,1.181604,0.010000,1.171604
34,2.534054,3.769916,1.769916,5.769916,price_sensitive_uninformed,buy_from_mm,5.769916,-2,10.267419,5.199310,0.040000,5.159310
