t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,-0.120250,-0.416147,-1.416147,0.583853,informed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
2,-0.108154,0.205052,-0.794948,1.205052,noise,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
3,2.758194,2.891879,1.891879,3.891879,noise,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
4,3.244954,3.392902,2.392902,4.392902,noise,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
5,4.538391,4.105282,3.105282,5.105282,noise,sell_to_mm,3.105282,1,-3.105282,1.433110,0.010000,1.423110
6,2.191398,2.188651,1.178651,3.178651,noise,sell_to_mm,1.178651,2,-4.283932,0.098864,0.040000,0.058864
7,3.285132,3.303242,2.283242,4.283242,informed,none,0.000000,2,-4.283932,2.286331,0.040000,2.246331
8,3.793645,3.824712,2.804712,4.804712,noise,buy_from_mm,4.804712,1,0.520780,4.314425,0.010000,4.304425
9,3.097533,3.855025,2.845025,4.845025,noise,none,0.000000,1,0.520780,3.618313,0.010000,3.608313
10,2.635122,4.014442,3.004442,5.004442,informed,sell_to_mm,3.004442,2,-2.483661,2.786583,0.040000,2.746583
11,5.290266,5.888947,4.868947,6.868947,noise,buy_from_mm,6.868947,1,4.385286,9.675551,0.010000,9.665551
12,5.801621,6.446343,5.436343,7.436343,informed,none,0.000000,1,4.385286,10.186907,0.010000,10.176907
13,6.846240,7.259843,6.249843,8.249843,noise,none,0.000000,1,4.385286,11.231525,0.010000,11.221525
14,7.464067,6.968773,5.958773,7.958773,informed,none,0.000000,1,4.385286,11.849353,0.010000,11.839353
15,6.749151,7.246766,6.236766,8.236766,informed,none,0.000000,1,4.385286,11.134437,0.010000,11.124437
16,7.266643,6.599941,5.589941,7.589941,noise,none,0.000000,1,4.385286,11.651929,0.010000,11.641929
17,7.096703,7.494158,6.484158,8.484158,noise,sell_to_mm,6.484158,2,-2.098873,12.094533,0.040000,12.054533
18,6.235979,6.864912,5.844912,7.844912,informed,none,0.000000,2,-2.098873,10.373086,0.040000,10.333086
19,4.779853,5.429869,4.409869,6.409869,noise,sell_to_mm,4.409869,3,-6.508741,7.830818,0.090000,7.740818
20,2.591753,2.348008,1.318008,3.318008,informed,none,0.000000,3,-6.508741,1.266519,0.090000,1.176519
21,2.550474,2.367351,1.337351,3.337351,noise,buy_from_mm,3.337351,2,-3.171390,1.929558,0.040000,1.889558
22,3.208876,2.793139,1.773139,3.773139,noise,none,0.000000,2,-3.171390,3.246362,0.040000,3.206362
23,2.635698,2.545791,1.525791,3.525791,informed,none,0.000000,2,-3.171390,2.100007,0.040000,2.060007
24,2.099541,1.898013,0.878013,2.878013,noise,none,0.000000,2,-3.171390,1.027692,0.040000,0.987692
25,1.280218,0.854550,-0.165450,1.834550,noise,none,0.000000,2,-3.171390,-0.610953,0.040000,-0.650953
26,1.124622,0.744777,-0.275223,1.724777,noise,none,0.000000,2,-3.171390,-0.922146,0.040000,-0.962146
27,1.528225,1.752016,0.732016,2.732016,noise,sell_to_mm,0.732016,3,-3.903406,0.681269,0.090000,0.591269
28,1.406530,1.147505,0.117505,2.117505,informed,none,0.000000,3,-3.903406,0.316184,0.090000,0.226184
29,0.768600,1.136916,0.106916,2.106916,noise,none,0.000000,3,-3.903406,-1.597606,0.090000,-1.687606
30,-0.330678,-0.428782,-1.458782,0.541218,noise,none,0.000000,3,-3.903406,-4.895441,0.090000,-4.985441
31,0.818300,1.092967,0.062967,2.062967,noise,none,0.000000,3,-3.903406,-1.448505,0.090000,-1.538505
32,1.441808,2.315850,1.285850,3.285850,noise,none,0.000000,3,-3.903406,0.422018,0.090000,0.332018
33,2.085876,1.797118,0.767118,2.767118,noise,none,0.000000,3,-3.903406,2.354223,0.090000,2.264223
34,2.191662,2.241238,1.211238,3.211238,noise,none,0.000000,3,-3.903406,2.671579,0.090000,2.581579
35,-0.300075,-0.074226,-1.104226,0.895774,noise,sell_to_mm,-1.104226,4,-2.799180,-3.999478,0.160000,-4.159478
36,-0.155194,0.553448,-0.486552,1.513448,noise,none,0.000000,4,-2.799180,-3.419956,0.160000,-3.579956
37,0.149547,-0.024635,-1.064635,0.935365,informed,none,0.000000,4,-2.799180,-2.200994,0.160000,-2.360994
38,1.096442,1.463526,0.423526,2.423526,noise,buy_from_mm,2.423526,3,-0.375654,2.913673,0.090000,2.823673
39,3.177813,2.422111,1.392111,3.392111,informed,none,0.000000,3,-0.375654,9.157785,0.090000,9.067785
40,3.599466,2.583057,1.553057,3.553057,informed,buy_from_mm,3.553057,2,3.177403,10.376334,0.040000,10.336334
41,4.699305,4.200480,3.180480,5.180480,noise,buy_from_mm,5.180480,1,8.357883,13.057189,0.010000,13.047189
42,4.403729,4.085695,3.075695,5.075695,informed,none,0.000000,1,8.357883,12.761612,0.010000,12.751612
43,4.632118,6.061509,5.051509,7.051509,noise,none,0.000000,1,8.357883,12.990002,0.010000,12.980002
44,5.590625,5.377182,4.367182,6.367182,informed,none,0.000000,1,8.357883,13.948509,0.010000,13.938509
45,4.815418,5.438794,4.428794,6.428794,noise,sell_to_mm,4.428794,2,3.929089,13.559925,0.040000,13.519925
46,6.721608,6.734393,5.714393,7.714393,noise,none,0.000000,2,3.929089,17.372305,0.040000,17.332305
47,6.836821,7.168894,6.148894,8.148894,noise,sell_to_mm,6.148894,3,-2.219806,18.290656,0.090000,18.200656
48,6.953055,6.791247,5.761247,7.761247,noise,none,0.000000,3,-2.219806,18.639358,0.090000,18.549358
49,5.400395,5.640226,4.610226,6.610226,informed,none,0.000000,3,-2.219806,13.981379,0.090000,13.891379
50,6.754757,7.284519,6.254519,8.254519,informed,none,0.000000,3,-2.219806,18.044465,0.090000,17.954465
51,6.872168,7.886267,6.856267,8.856267,noise,buy_from_mm,8.856267,2,6.636461,20.380798,0.040000,20.340798
