t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,-0.569610,0.541262,-0.458738,1.541262,noise,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
2,1.025691,0.739240,-0.260760,1.739240,noise,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
3,1.833176,3.563201,2.563201,4.563201,noise,sell_to_mm,2.563201,1,-2.563201,-0.730025,0.010000,-0.740025
4,0.101203,1.811641,0.801641,2.801641,informed,sell_to_mm,0.801641,2,-3.364842,-3.162435,0.040000,-3.202435
5,1.905661,0.589181,-0.430819,1.569181,noise,none,0.000000,2,-3.364842,0.446481,0.040000,0.406481
6,1.578715,2.405832,1.385832,3.385832,noise,none,0.000000,2,-3.364842,-0.207412,0.040000,-0.247412
7,-0.186342,1.817018,0.797018,2.797018,noise,buy_from_mm,2.797018,1,-0.567824,-0.754165,0.010000,-0.764165
8,-0.542522,-0.667821,-1.677821,0.322179,noise,buy_from_mm,0.322179,0,-0.245645,-0.245645,0.000000,-0.245645
9,0.225603,-0.091570,-1.091570,0.908430,informed,none,0.000000,0,-0.245645,-0.245645,0.000000,-0.245645
10,-0.282697,-1.585040,-2.585040,-0.585040,informed,buy_from_mm,-0.585040,-1,-0.830685,-0.547988,0.010000,-0.557988
11,-1.768998,-3.006141,-3.996141,-1.996141,noise,none,0.000000,-1,-0.830685,0.938313,0.010000,0.928313
12,-3.714196,-5.528763,-6.518763,-4.518763,noise,sell_to_mm,-6.518763,0,5.688078,5.688078,0.000000,5.688078
13,-3.798854,-2.823430,-3.823430,-1.823430,noise,none,0.000000,0,5.688078,5.688078,0.000000,5.688078
14,-4.392052,-2.310879,-3.310879,-1.310879,informed,sell_to_mm,-3.310879,1,8.998957,4.606905,0.010000,4.596905
15,-4.918562,-3.924222,-4.934222,-2.934222,informed,none,0.000000,1,8.998957,4.080395,0.010000,4.070395
16,-6.481488,-6.585610,-7.595610,-5.595610,informed,none,0.000000,1,8.998957,2.517469,0.010000,2.507469
17,-5.598375,-3.720394,-4.730394,-2.730394,noise,none,0.000000,1,8.998957,3.400582,0.010000,3.390582
18,-6.245851,-3.897758,-4.907758,-2.907758,noise,none,0.000000,1,8.998957,2.753106,0.010000,2.743106
19,-6.015174,-5.447929,-6.457929,-4.457929,noise,buy_from_mm,-4.457929,0,4.541028,4.541028,0.000000,4.541028
20,-4.297962,-6.483104,-7.483104,-5.483104,noise,none,0.000000,0,4.541028,4.541028,0.000000,4.541028
21,-3.254053,-3.819466,-4.819466,-2.819466,informed,none,0.000000,0,4.541028,4.541028,0.000000,4.541028
22,-3.299721,-5.956233,-6.956233,-4.956233,informed,buy_from_mm,-4.956233,-1,-0.415204,2.884517,0.010000,2.874517
23,-2.094291,-1.511788,-2.501788,-0.501788,noise,none,0.000000,-1,-0.415204,1.679087,0.010000,1.669087
24,-2.147023,-4.710047,-5.700047,-3.700047,informed,buy_from_mm,-3.700047,-2,-4.115252,0.178793,0.040000,0.138793
25,-2.023540,-1.455626,-2.435626,-0.435626,noise,none,0.000000,-2,-4.115252,-0.068172,0.040000,-0.108172
26,-2.471691,-0.615702,-1.595702,0.404298,informed,sell_to_mm,-1.595702,-1,-2.519549,-0.047859,0.010000,-0.057859
27,-1.783014,-1.811884,-2.801884,-0.801884,noise,sell_to_mm,-2.801884,0,0.282334,0.282334,0.000000,0.282334
28,-2.022366,-4.346703,-5.346703,-3.346703,noise,none,0.000000,0,0.282334,0.282334,0.000000,0.282334
29,-2.520531,-4.449066,-5.449066,-3.449066,informed,buy_from_mm,-3.449066,-1,-3.166732,-0.646201,0.010000,-0.656201
30,-1.632187,-1.306861,-2.296861,-0.296861,noise,none,0.000000,-1,-3.166732,-1.534544,0.010000,-1.544544
31,-0.076830,0.049245,-0.940755,1.059245,noise,none,0.000000,-1,-3.166732,-3.089901,0.010000,-3.099901
32,-0.307996,0.102078,-0.887922,1.112078,informed,none,0.000000,-1,-3.166732,-2.858736,0.010000,-2.868736
33,-0.900462,0.401533,-0.588467,1.411533,informed,sell_to_mm,-0.588467,0,-2.578265,-2.578265,0.000000,-2.578265
34,-0.480273,0.761484,-0.238516,1.761484,noise,buy_from_mm,1.761484,-1,-0.816780,-0.336507,0.010000,-0.346507
35,0.043047,2.309385,1.319385,3.319385,informed,sell_to_mm,1.319385,0,-2.136165,-2.136165,0.000000,-2.136165
36,1.377481,0.820585,-0.179415,1.820585,informed,none,0.000000,0,-2.136165,-2.136165,0.000000,-2.136165
37,-0.379918,0.678362,-0.321638,1.678362,noise,none,0.000000,0,-2.136165,-2.136165,0.000000,-2.136165
