t,true_value,signal,bid,ask,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,-0.569610,3.873876,2.873876,4.873876,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
2,1.025691,-0.120115,-1.120115,0.879885,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
3,1.833176,8.753274,7.753274,9.753274,sell_to_mm,7.753274,1,-7.753274,-5.920098,0.010000,-5.930098
4,0.101203,6.942954,5.932954,7.932954,sell_to_mm,5.932954,2,-13.686228,-13.483822,0.040000,-13.523822
5,1.905661,-3.360259,-4.380259,-2.380259,none,0.000000,2,-13.686228,-9.874906,0.040000,-9.914906
6,1.578715,4.887185,3.867185,5.867185,none,0.000000,2,-13.686228,-10.528798,0.040000,-10.568798
7,-0.186342,7.827096,6.807096,8.807096,buy_from_mm,8.807096,1,-4.879132,-5.065474,0.010000,-5.075474
8,-0.542522,-1.043717,-2.053717,-0.053717,buy_from_mm,-0.053717,0,-4.932849,-4.932849,0.000000,-4.932849
9,0.225603,-1.043092,-2.043092,-0.043092,buy_from_mm,-0.043092,-1,-4.975941,-5.201544,0.010000,-5.211544
10,-0.282697,-5.492070,-6.482070,-4.482070,buy_from_mm,-4.482070,-2,-9.458011,-8.892616,0.040000,-8.932616
11,-1.768998,-6.717568,-7.697568,-5.697568,none,0.000000,-2,-9.458011,-5.920014,0.040000,-5.960014
12,-3.714196,-10.972465,-11.952465,-9.952465,sell_to_mm,-11.952465,-1,2.494454,6.208650,0.010000,6.198650
13,-3.798854,0.102841,-0.887159,1.112841,none,0.000000,-1,2.494454,6.293308,0.010000,6.283308
14,-4.392052,3.932641,2.942641,4.942641,sell_to_mm,2.942641,0,-0.448186,-0.448186,0.000000,-0.448186
15,-4.918562,-0.941202,-1.941202,0.058798,sell_to_mm,-1.941202,1,1.493016,-3.425546,0.010000,-3.435546
16,-6.481488,-6.897976,-7.907976,-5.907976,none,0.000000,1,1.493016,-4.988472,0.010000,-4.998472
17,-5.598375,1.913546,0.903546,2.903546,none,0.000000,1,1.493016,-4.105358,0.010000,-4.115358
18,-6.245851,3.146523,2.136523,4.136523,none,0.000000,1,1.493016,-4.752835,0.010000,-4.762835
19,-6.015174,-3.746192,-4.756192,-2.756192,buy_from_mm,-2.756192,0,-1.263176,-1.263176,0.000000,-1.263176
20,-4.297962,-13.038531,-14.038531,-12.038531,none,0.000000,0,-1.263176,-1.263176,0.000000,-1.263176
21,-3.254053,-5.515707,-6.515707,-4.515707,buy_from_mm,-4.515707,-1,-5.778883,-2.524830,0.010000,-2.534830
22,-3.299721,-13.925768,-14.915768,-12.915768,buy_from_mm,-12.915768,-2,-18.694651,-12.095210,0.040000,-12.135210
23,-2.094291,0.235722,-0.744278,1.255722,none,0.000000,-2,-18.694651,-14.506069,0.040000,-14.546069
24,-2.147023,-12.399122,-13.379122,-11.379122,buy_from_mm,-11.379122,-3,-30.073773,-23.632705,0.090000,-23.722705
25,-2.023540,0.248117,-0.721883,1.278117,none,0.000000,-3,-30.073773,-24.003153,0.090000,-24.093153
26,-2.471691,4.952263,3.982263,5.982263,sell_to_mm,3.982263,-2,-34.056036,-29.112655,0.040000,-29.152655
27,-1.783014,-1.898491,-2.878491,-0.878491,sell_to_mm,-2.878491,-1,-31.177544,-29.394530,0.010000,-29.404530
28,-2.022366,-11.319712,-12.309712,-10.309712,none,0.000000,-1,-31.177544,-29.155178,0.010000,-29.165178
29,-2.520531,-10.234671,-11.224671,-9.224671,buy_from_mm,-9.224671,-2,-40.402215,-35.361153,0.040000,-35.401153
30,-1.632187,-0.330880,-1.310880,0.689120,none,0.000000,-2,-40.402215,-37.137840,0.040000,-37.177840
31,-0.076830,0.427471,-0.552529,1.447471,none,0.000000,-2,-40.402215,-40.248555,0.040000,-40.288555
32,-0.307996,1.332297,0.352297,2.352297,sell_to_mm,0.352297,-1,-40.754513,-40.446517,0.010000,-40.456517
33,-0.900462,4.307516,3.317516,5.317516,sell_to_mm,3.317516,0,-44.072028,-44.072028,0.000000,-44.072028
34,-0.480273,4.486757,3.486757,5.486757,buy_from_mm,5.486757,-1,-38.585272,-38.104998,0.010000,-38.114998
35,0.043047,9.108399,8.118399,10.118399,sell_to_mm,8.118399,0,-46.703671,-46.703671,0.000000,-46.703671
36,1.377481,-0.850103,-1.850103,0.149897,buy_from_mm,0.149897,-1,-46.553774,-47.931256,0.010000,-47.941256
37,-0.379918,3.853203,2.863203,4.863203,none,0.000000,-1,-46.553774,-46.173856,0.010000,-46.183856
38,-0.120973,-3.242902,-4.232902,-2.232902,buy_from_mm,-2.232902,-2,-48.786676,-48.544731,0.040000,-48.584731
39,-2.480773,-5.036014,-6.016014,-4.016014,sell_to_mm,-6.016014,-1,-42.770662,-40.289889,0.010000,-40.299889
40,-1.853331,4.764577,3.774577,5.774577,none,0.000000,-1,-42.770662,-40.917331,0.010000,-40.927331
41,-0.778044,0.081493,-0.908507,1.091493,none,0.000000,-1,-42.770662,-41.992618,0.010000,-42.002618
42,-0.733704,-5.868987,-6.858987,-4.858987,none,0.000000,-1,-42.770662,-42.036958,0.010000,-42.046958
43,-0.831079,-9.414433,-10.404433,-8.404433,buy_from_mm,-8.404433,-2,-51.175095,-49.512938,0.040000,-49.552938
44,0.287926,1.876473,0.896473,2.896473,none,0.000000,-2,-51.175095,-51.750947,0.040000,-51.790947
45,-0.384483,2.277906,1.297906,3.297906,sell_to_mm,1.297906,-1,-52.473001,-52.088518,0.010000,-52.098518
