t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,0.518730,-0.145014,-1.145014,0.854986,noise,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
2,-0.591820,-5.293964,-6.293964,-4.293964,informed,buy_from_mm,-4.293964,-1,-4.293964,-3.702144,0.010000,-3.712144
3,-1.851686,-0.739579,-1.729579,0.270421,noise,buy_from_mm,0.270421,-2,-4.023543,-0.320171,0.040000,-0.360171
4,-1.897637,8.109542,7.129542,9.129542,noise,none,0.000000,-2,-4.023543,-0.228269,0.040000,-0.268269
5,0.374354,0.203610,-0.776390,1.223610,informed,none,0.000000,-2,-4.023543,-4.772251,0.040000,-4.812251
6,-1.006096,2.681783,1.701783,3.701783,informed,sell_to_mm,1.701783,-1,-5.725326,-4.719230,0.010000,-4.729230
7,-1.326586,-4.378818,-5.368818,-3.368818,informed,buy_from_mm,-3.368818,-2,-9.094144,-6.440972,0.040000,-6.480972
8,-1.063446,1.061570,0.081570,2.081570,noise,none,0.000000,-2,-9.094144,-6.967251,0.040000,-7.007251
9,0.130950,-0.418699,-1.398699,0.601301,informed,none,0.000000,-2,-9.094144,-9.356044,0.040000,-9.396044
10,-0.437947,4.162119,3.182119,5.182119,noise,none,0.000000,-2,-9.094144,-8.218250,0.040000,-8.258250
11,-0.415287,-5.209060,-6.189060,-4.189060,noise,none,0.000000,-2,-9.094144,-8.263571,0.040000,-8.303571
12,0.624517,-3.138601,-4.118601,-2.118601,informed,buy_from_mm,-2.118601,-3,-11.212745,-13.086295,0.090000,-13.176295
13,-0.996370,-1.842959,-2.812959,-0.812959,noise,none,0.000000,-3,-11.212745,-8.223634,0.090000,-8.313634
14,-1.068269,-4.603159,-5.573159,-3.573159,informed,buy_from_mm,-3.573159,-4,-14.785904,-10.512826,0.160000,-10.672826
15,-0.918963,-1.186010,-2.146010,-0.146010,noise,none,0.000000,-4,-14.785904,-11.110054,0.160000,-11.270054
16,-0.562512,-7.987544,-8.947544,-6.947544,informed,buy_from_mm,-6.947544,-5,-21.733448,-18.920888,0.250000,-19.170888
17,0.154723,1.478674,0.528674,2.528674,informed,sell_to_mm,0.528674,-4,-22.262122,-22.881013,0.160000,-23.041013
18,-1.739760,-1.178645,-2.138645,-0.138645,noise,sell_to_mm,-2.138645,-3,-20.123477,-14.904196,0.090000,-14.994196
19,-1.734656,-1.678998,-2.648998,-0.648998,noise,none,0.000000,-3,-20.123477,-14.919509,0.090000,-15.009509
20,-1.912796,-6.235128,-7.205128,-5.205128,informed,buy_from_mm,-5.205128,-4,-25.328605,-17.677421,0.160000,-17.837421
21,-2.008969,-2.391848,-3.351848,-1.351848,noise,none,0.000000,-4,-25.328605,-17.292727,0.160000,-17.452727
22,-2.727765,-5.818472,-6.778472,-4.778472,noise,none,0.000000,-4,-25.328605,-14.417543,0.160000,-14.577543
23,-2.444480,4.989507,4.029507,6.029507,noise,none,0.000000,-4,-25.328605,-15.550685,0.160000,-15.710685
24,-2.628584,-4.300151,-5.260151,-3.260151,noise,none,0.000000,-4,-25.328605,-14.814270,0.160000,-14.974270
25,-1.669106,-2.314332,-3.274332,-1.274332,informed,none,0.000000,-4,-25.328605,-18.652183,0.160000,-18.812183
26,-1.905217,4.928909,3.968909,5.968909,informed,sell_to_mm,3.968909,-3,-29.297514,-23.581864,0.090000,-23.671864
27,-1.008282,-2.048823,-3.018823,-1.018823,noise,none,0.000000,-3,-29.297514,-26.272669,0.090000,-26.362669
28,-0.168317,1.848508,0.878508,2.878508,noise,none,0.000000,-3,-29.297514,-28.792562,0.090000,-28.882562
29,0.815906,2.258923,1.288923,3.288923,noise,sell_to_mm,1.288923,-2,-30.586437,-32.218250,0.040000,-32.258250
30,0.889328,-4.986800,-5.966800,-3.966800,noise,none,0.000000,-2,-30.586437,-32.365094,0.040000,-32.405094
31,-1.305695,-8.136799,-9.116799,-7.116799,noise,none,0.000000,-2,-30.586437,-27.975046,0.040000,-28.015046
32,-1.554250,-6.397142,-7.377142,-5.377142,noise,buy_from_mm,-5.377142,-3,-35.963580,-31.300831,0.090000,-31.390831
33,-1.270931,-2.022943,-2.992943,-0.992943,noise,none,0.000000,-3,-35.963580,-32.150787,0.090000,-32.240787
34,-0.086821,4.226753,3.256753,5.256753,noise,none,0.000000,-3,-35.963580,-35.703116,0.090000,-35.793116
