t,true_value,signal,bid,ask,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,-0.569610,-0.014174,-1.264174,1.235826,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
2,1.025691,0.882466,-0.367534,2.132466,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
3,1.833176,2.698189,1.448189,3.948189,sell_to_mm,1.448189,1,-1.448189,0.384988,0.010000,0.374988
4,0.101203,0.956422,-0.293578,2.206422,none,0.000000,1,-1.448189,-1.346985,0.010000,-1.356985
5,1.905661,1.247421,-0.002579,2.497421,none,0.000000,1,-1.448189,0.457473,0.010000,0.447473
6,1.578715,1.992274,0.742274,3.242274,none,0.000000,1,-1.448189,0.130526,0.010000,0.120526
7,-0.186342,0.815338,-0.434662,2.065338,buy_from_mm,2.065338,0,0.617150,0.617150,0.000000,0.617150
8,-0.542522,-0.605172,-1.855172,0.644828,buy_from_mm,0.644828,-1,1.261978,1.804500,0.010000,1.794500
9,0.225603,0.067016,-1.182984,1.317016,none,0.000000,-1,1.261978,1.036375,0.010000,1.026375
10,-0.282697,-0.933869,-2.183869,0.316131,none,0.000000,-1,1.261978,1.544675,0.010000,1.534675
11,-1.768998,-2.387569,-3.637569,-1.137569,none,0.000000,-1,1.261978,3.030976,0.010000,3.020976
12,-3.714196,-4.621480,-5.871480,-3.371480,sell_to_mm,-5.871480,0,7.133457,7.133457,0.000000,7.133457
13,-3.798854,-3.311142,-4.561142,-2.061142,none,0.000000,0,7.133457,7.133457,0.000000,7.133457
14,-4.392052,-3.351466,-4.601466,-2.101466,none,0.000000,0,7.133457,7.133457,0.000000,7.133457
15,-4.918562,-4.421392,-5.671392,-3.171392,none,0.000000,0,7.133457,7.133457,0.000000,7.133457
16,-6.481488,-6.533549,-7.783549,-5.283549,none,0.000000,0,7.133457,7.133457,0.000000,7.133457
17,-5.598375,-4.659384,-5.909384,-3.409384,none,0.000000,0,7.133457,7.133457,0.000000,7.133457
18,-6.245851,-5.071804,-6.321804,-3.821804,none,0.000000,0,7.133457,7.133457,0.000000,7.133457
