t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,0.059549,-0.531734,-1.781734,0.718266,noise,sell_to_mm,-1.781734,1,1.781734,1.841282,0.010000,1.831282
2,0.853917,1.147433,-0.102567,2.397433,noise,sell_to_mm,-0.102567,2,1.884300,3.592135,0.040000,3.552135
3,0.146084,-0.322115,-1.572115,0.927885,noise,buy_from_mm,0.927885,1,2.812186,2.958270,0.010000,2.948270
4,-0.675515,-0.630983,-1.880983,0.619017,noise,none,0.000000,1,2.812186,2.136671,0.010000,2.126671
5,-1.528863,-1.757680,-3.007680,-0.507680,noise,none,0.000000,1,2.812186,1.283322,0.010000,1.273322
6,-1.825410,-1.672005,-2.922005,-0.422005,noise,none,0.000000,1,2.812186,0.986775,0.010000,0.976775
7,-3.098845,-2.652892,-3.902892,-1.402892,informed,none,0.000000,1,2.812186,-0.286660,0.010000,-0.296660
8,-3.466442,-3.578482,-4.828482,-2.328482,noise,none,0.000000,1,2.812186,-0.654256,0.010000,-0.664256
9,-3.861904,-3.654856,-4.904856,-2.404856,informed,none,0.000000,1,2.812186,-1.049718,0.010000,-1.059718
10,-4.361529,-4.332580,-5.582580,-3.082580,noise,none,0.000000,1,2.812186,-1.549344,0.010000,-1.559344
11,-3.086983,-2.456096,-3.706096,-1.206096,noise,none,0.000000,1,2.812186,-0.274798,0.010000,-0.284798
12,-2.071363,-2.265023,-3.515023,-1.015023,noise,none,0.000000,1,2.812186,0.740822,0.010000,0.730822
13,-1.514785,-1.414634,-2.664634,-0.164634,informed,none,0.000000,1,2.812186,1.297401,0.010000,1.287401
14,-0.295167,0.555029,-0.694971,1.805029,noise,none,0.000000,1,2.812186,2.517018,0.010000,2.507018
15,-0.643041,-0.302574,-1.552574,0.947426,informed,none,0.000000,1,2.812186,2.169145,0.010000,2.159145
16,-2.081106,-2.103624,-3.353624,-0.853624,noise,none,0.000000,1,2.812186,0.731080,0.010000,0.721080
17,-0.815280,-1.648125,-2.898125,-0.398125,informed,none,0.000000,1,2.812186,1.996906,0.010000,1.986906
18,-0.294112,0.708338,-0.541662,1.958338,noise,none,0.000000,1,2.812186,2.518074,0.010000,2.508074
19,-0.440856,-1.037519,-2.287519,0.212481,informed,none,0.000000,1,2.812186,2.371330,0.010000,2.361330
20,0.338575,0.133057,-1.116943,1.383057,noise,sell_to_mm,-1.116943,2,3.929128,4.606279,0.040000,4.566279
21,0.120973,-0.042093,-1.292093,1.207907,informed,none,0.000000,2,3.929128,4.171075,0.040000,4.131075
22,-1.287372,-0.636952,-1.886952,0.613048,informed,none,0.000000,2,3.929128,1.354384,0.040000,1.314384
23,0.044330,0.159366,-1.090634,1.409366,noise,none,0.000000,2,3.929128,4.017789,0.040000,3.977789
24,-0.968685,-1.383940,-2.633940,-0.133940,noise,none,0.000000,2,3.929128,1.991758,0.040000,1.951758
25,-2.028257,-2.468026,-3.718026,-1.218026,informed,none,0.000000,2,3.929128,-0.127385,0.040000,-0.167385
26,-1.570435,-0.919346,-2.169346,0.330654,noise,none,0.000000,2,3.929128,0.788258,0.040000,0.748258
27,-0.263103,0.189881,-1.060119,1.439881,informed,none,0.000000,2,3.929128,3.402922,0.040000,3.362922
28,0.780971,0.737159,-0.512841,1.987159,noise,none,0.000000,2,3.929128,5.491071,0.040000,5.451071
29,-0.348555,-0.649709,-1.899709,0.600291,noise,none,0.000000,2,3.929128,3.232018,0.040000,3.192018
30,-0.027457,-0.091531,-1.341531,1.158469,informed,none,0.000000,2,3.929128,3.874215,0.040000,3.834215
31,-1.015873,-0.290258,-1.540258,0.959742,noise,none,0.000000,2,3.929128,1.897383,0.040000,1.857383
32,0.027066,0.948585,-0.301415,2.198585,informed,none,0.000000,2,3.929128,3.983260,0.040000,3.943260
33,-0.586821,-0.222790,-1.472790,1.027210,noise,buy_from_mm,1.027210,1,4.956339,4.369518,0.010000,4.359518
34,0.776356,1.171256,-0.078744,2.421256,noise,none,0.000000,1,4.956339,5.732695,0.010000,5.722695
35,-0.275515,0.151383,-1.098617,1.401383,noise,none,0.000000,1,4.956339,4.680824,0.010000,4.670824
36,0.241107,0.031912,-1.218088,1.281912,informed,none,0.000000,1,4.956339,5.197446,0.010000,5.187446
37,-0.596117,-0.722712,-1.972712,0.527288,noise,none,0.000000,1,4.956339,4.360222,0.010000,4.350222
38,0.157084,-0.776393,-2.026393,0.473607,informed,none,0.000000,1,4.956339,5.113423,0.010000,5.103423
39,1.724887,1.302359,0.052359,2.552359,informed,none,0.000000,1,4.956339,6.681225,0.010000,6.671225
40,3.236219,4.113486,2.863486,5.363486,noise,none,0.000000,1,4.956339,8.192558,0.010000,8.182558
41,3.712672,4.602307,3.352307,5.852307,noise,buy_from_mm,5.852307,0,10.808646,10.808646,0.000000,10.808646
42,3.887756,3.004928,1.754928,4.254928,noise,none,0.000000,0,10.808646,10.808646,0.000000,10.808646
43,2.923442,3.372287,2.122287,4.622287,noise,none,0.000000,0,10.808646,10.808646,0.000000,10.808646
44,4.613903,3.835240,2.585240,5.085240,noise,none,0.000000,0,10.808646,10.808646,0.000000,10.808646
45,2.696872,3.201759,1.951759,4.451759,informed,none,0.000000,0,10.808646,10.808646,0.000000,10.808646
46,3.813945,3.610717,2.360717,4.860717,informed,none,0.000000,0,10.808646,10.808646,0.000000,10.808646
47,2.839075,3.429135,2.179135,4.679135,noise,sell_to_mm,2.179135,1,8.629511,11.468586,0.010000,11.458586
48,3.378998,3.398693,2.148693,4.648693,informed,none,0.000000,1,8.629511,12.008508,0.010000,11.998508
49,3.385750,3.403146,2.153146,4.653146,noise,sell_to_mm,2.153146,2,6.476364,13.247865,0.040000,13.207865
50,4.348183,3.434819,2.184819,4.684819,noise,none,0.000000,2,6.476364,15.172731,0.040000,15.132731
51,3.179164,3.521584,2.271584,4.771584,informed,none,0.000000,2,6.476364,12.834692,0.040000,12.794692
52,2.928283,3.633290,2.383290,4.883290,noise,none,0.000000,2,6.476364,12.332931,0.040000,12.292931
53,3.686358,4.520217,3.270217,5.770217,noise,none,0.000000,2,6.476364,13.849080,0.040000,13.809080
54,2.263521,1.922982,0.672982,3.172982,noise,none,0.000000,2,6.476364,11.003405,0.040000,10.963405
55,3.130484,2.606852,1.356852,3.856852,noise,none,0.000000,2,6.476364,12.737332,0.040000,12.697332
56,4.047619,3.097416,1.847416,4.347416,informed,none,0.000000,2,6.476364,14.571601,0.040000,14.531601
57,4.122109,4.954266,3.704266,6.204266,informed,none,0.000000,2,6.476364,14.720582,0.040000,14.680582
58,1.987979,2.216050,0.966050,3.466050,noise,none,0.000000,2,6.476364,10.452323,0.040000,10.412323
59,1.814459,2.381864,1.131864,3.631864,informed,none,0.000000,2,6.476364,10.105283,0.040000,10.065283
60,0.951261,1.392838,0.142838,2.642838,informed,none,0.000000,2,6.476364,8.378886,0.040000,8.338886
61,0.065842,0.113045,-1.136955,1.363045,noise,none,0.000000,2,6.476364,6.608049,0.040000,6.568049
62,2.058743,2.075182,0.825182,3.325182,noise,none,0.000000,2,6.476364,10.593851,0.040000,10.553851
63,3.606473,3.343933,2.093933,4.593933,informed,none,0.000000,2,6.476364,13.689310,0.040000,13.649310
64,3.133412,3.729563,2.479563,4.979563,informed,none,0.000000,2,6.476364,12.743188,0.040000,12.703188
65,2.780305,1.971130,0.721130,3.221130,noise,buy_from_mm,3.221130,1,9.697494,12.477799,0.010000,12.467799
66,2.706248,3.310319,2.060319,4.560319,noise,none,0.000000,1,9.697494,12.403742,0.010000,12.393742
67,1.930327,1.785342,0.535342,3.035342,informed,none,0.000000,1,9.697494,11.627821,0.010000,11.617821
68,3.555630,4.168715,2.918715,5.418715,noise,none,0.000000,1,9.697494,13.253125,0.010000,13.243125
69,1.549613,1.172895,-0.077105,2.422895,informed,none,0.000000,1,9.697494,11.247107,0.010000,11.237107
70,-0.195715,-1.235366,-2.485366,0.014634,informed,none,0.000000,1,9.697494,9.501779,0.010000,9.491779
71,0.758105,1.861453,0.611453,3.111453,noise,none,0.000000,1,9.697494,10.455599,0.010000,10.445599
72,0.782771,0.779895,-0.470105,2.029895,informed,none,0.000000,1,9.697494,10.480265,0.010000,10.470265
73,-0.791692,-0.948356,-2.198356,0.301644,informed,none,0.000000,1,9.697494,8.905803,0.010000,8.895803
74,-0.820042,-0.731365,-1.981365,0.518635,informed,none,0.000000,1,9.697494,8.877452,0.010000,8.867452
75,-2.175038,-1.970543,-3.220543,-0.720543,informed,none,0.000000,1,9.697494,7.522457,0.010000,7.512457
76,-1.502826,-1.210379,-2.460379,0.039621,noise,none,0.000000,1,9.697494,8.194668,0.010000,8.184668
77,-3.885056,-3.925759,-5.175759,-2.675759,noise,none,0.000000,1,9.697494,5.812438,0.010000,5.802438
78,-3.860743,-4.477941,-5.727941,-3.227941,noise,none,0.000000,1,9.697494,5.836751,0.010000,5.826751
79,-6.192644,-5.632937,-6.882937,-4.382937,informed,none,0.000000,1,9.697494,3.504850,0.010000,3.494850
80,-6.670477,-6.007422,-7.257422,-4.757422,noise,buy_from_mm,-4.757422,0,4.940072,4.940072,0.000000,4.940072
81,-7.997292,-7.655289,-8.905289,-6.405289,noise,none,0.000000,0,4.940072,4.940072,0.000000,4.940072
82,-7.757813,-7.568256,-8.818256,-6.318256,informed,none,0.000000,0,4.940072,4.940072,0.000000,4.940072
83,-9.098631,-7.956615,-9.206615,-6.706615,informed,none,0.000000,0,4.940072,4.940072,0.000000,4.940072
84,-7.984320,-7.989883,-9.239883,-6.739883,noise,buy_from_mm,-6.739883,-1,-1.799810,6.184510,0.010000,6.174510
85,-7.725059,-7.078022,-8.328022,-5.828022,noise,none,0.000000,-1,-1.799810,5.925249,0.010000,5.915249
86,-5.769211,-6.140807,-7.390807,-4.890807,noise,none,0.000000,-1,-1.799810,3.969401,0.010000,3.959401
87,-4.041194,-3.307757,-4.557757,-2.057757,noise,none,0.000000,-1,-1.799810,2.241384,0.010000,2.231384
88,-3.916028,-3.491818,-4.741818,-2.241818,informed,none,0.000000,-1,-1.799810,2.116218,0.010000,2.106218
89,-4.658978,-4.833235,-6.083235,-3.583235,informed,none,0.000000,-1,-1.799810,2.859168,0.010000,2.849168
90,-5.425869,-5.648492,-6.898492,-4.398492,informed,none,0.000000,-1,-1.799810,3.626059,0.010000,3.616059
91,-3.857117,-4.239507,-5.489507,-2.989507,informed,none,0.000000,-1,-1.799810,2.057307,0.010000,2.047307
