t,true_value,signal,bid,ask,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,-0.569610,0.541262,-0.958738,2.041262,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
2,1.025691,0.739240,-0.760760,2.239240,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
3,1.833176,3.563201,2.063201,5.063201,sell_to_mm,2.063201,1,-2.063201,-0.230025,0.010000,-0.240025
4,0.101203,1.811641,0.311641,3.311641,sell_to_mm,0.311641,2,-2.374842,-2.172435,0.040000,-2.212435
5,1.905661,0.589181,-0.910819,2.089181,none,0.000000,2,-2.374842,1.436481,0.040000,1.396481
6,1.578715,2.405832,0.905832,3.905832,none,0.000000,2,-2.374842,0.782588,0.040000,0.742588
7,-0.186342,1.817018,0.317018,3.317018,buy_from_mm,3.317018,1,0.942176,0.755835,0.010000,0.745835
8,-0.542522,-0.667821,-2.167821,0.832179,buy_from_mm,0.832179,0,1.774355,1.774355,0.000000,1.774355
9,0.225603,-0.091570,-1.591570,1.408430,none,0.000000,0,1.774355,1.774355,0.000000,1.774355
10,-0.282697,-1.585040,-3.085040,-0.085040,none,0.000000,0,1.774355,1.774355,0.000000,1.774355
11,-1.768998,-3.006141,-4.506141,-1.506141,none,0.000000,0,1.774355,1.774355,0.000000,1.774355
12,-3.714196,-5.528763,-7.028763,-4.028763,sell_to_mm,-7.028763,1,8.803118,5.088922,0.010000,5.078922
13,-3.798854,-2.823430,-4.323430,-1.323430,none,0.000000,1,8.803118,5.004265,0.010000,4.994265
14,-4.392052,-2.310879,-3.810879,-0.810879,sell_to_mm,-3.810879,2,12.613997,3.829893,0.040000,3.789893
15,-4.918562,-3.924222,-5.424222,-2.424222,none,0.000000,2,12.613997,2.776873,0.040000,2.736873
16,-6.481488,-6.585610,-8.085610,-5.085610,none,0.000000,2,12.613997,-0.348979,0.040000,-0.388979
17,-5.598375,-3.720394,-5.220394,-2.220394,none,0.000000,2,12.613997,1.417248,0.040000,1.377248
18,-6.245851,-3.897758,-5.397758,-2.397758,none,0.000000,2,12.613997,0.122295,0.040000,0.082295
19,-6.015174,-5.447929,-6.947929,-3.947929,buy_from_mm,-3.947929,1,8.666069,2.650895,0.010000,2.640895
20,-4.297962,-6.483104,-7.983104,-4.983104,none,0.000000,1,8.666069,4.368107,0.010000,4.358107
21,-3.254053,-3.819466,-5.319466,-2.319466,none,0.000000,1,8.666069,5.412016,0.010000,5.402016
22,-3.299721,-5.956233,-7.456233,-4.456233,buy_from_mm,-4.456233,0,4.209836,4.209836,0.000000,4.209836
23,-2.094291,-1.511788,-3.011788,-0.011788,none,0.000000,0,4.209836,4.209836,0.000000,4.209836
24,-2.147023,-4.710047,-6.210047,-3.210047,buy_from_mm,-3.210047,-1,0.999789,3.146811,0.010000,3.136811
25,-2.023540,-1.455626,-2.955626,0.044374,none,0.000000,-1,0.999789,3.023329,0.010000,3.013329
26,-2.471691,-0.615702,-2.115702,0.884298,sell_to_mm,-2.115702,0,3.115491,3.115491,0.000000,3.115491
27,-1.783014,-1.811884,-3.311884,-0.311884,sell_to_mm,-3.311884,1,6.427375,4.644360,0.010000,4.634360
28,-2.022366,-4.346703,-5.846703,-2.846703,none,0.000000,1,6.427375,4.405008,0.010000,4.395008
29,-2.520531,-4.449066,-5.949066,-2.949066,buy_from_mm,-2.949066,0,3.478309,3.478309,0.000000,3.478309
30,-1.632187,-1.306861,-2.806861,0.193139,none,0.000000,0,3.478309,3.478309,0.000000,3.478309
31,-0.076830,0.049245,-1.450755,1.549245,none,0.000000,0,3.478309,3.478309,0.000000,3.478309
32,-0.307996,0.102078,-1.397922,1.602078,none,0.000000,0,3.478309,3.478309,0.000000,3.478309
33,-0.900462,0.401533,-1.098467,1.901533,none,0.000000,0,3.478309,3.478309,0.000000,3.478309
34,-0.480273,0.761484,-0.738516,2.261484,buy_from_mm,2.261484,-1,5.739793,6.220066,0.010000,6.210066
35,0.043047,2.309385,0.809385,3.809385,sell_to_mm,0.809385,0,4.930408,4.930408,0.000000,4.930408
36,1.377481,0.820585,-0.679415,2.320585,none,0.000000,0,4.930408,4.930408,0.000000,4.930408
37,-0.379918,0.678362,-0.821638,2.178362,none,0.000000,0,4.930408,4.930408,0.000000,4.930408
38,-0.120973,-0.901455,-2.401455,0.598545,none,0.000000,0,4.930408,4.930408,0.000000,4.930408
39,-2.480773,-3.119583,-4.619583,-1.619583,sell_to_mm,-4.619583,1,9.549991,7.069218,0.010000,7.059218
40,-1.853331,-0.198854,-1.698854,1.301146,none,0.000000,1,9.549991,7.696660,0.010000,7.686660
41,-0.778044,-0.563160,-2.063160,0.936840,none,0.000000,1,9.549991,8.771947,0.010000,8.761947
42,-0.733704,-2.017525,-3.517525,-0.517525,none,0.000000,1,9.549991,8.816287,0.010000,8.806287
43,-0.831079,-2.976917,-4.476917,-1.476917,buy_from_mm,-1.476917,0,8.073074,8.073074,0.000000,8.073074
44,0.287926,0.685062,-0.814938,2.185062,none,0.000000,0,8.073074,8.073074,0.000000,8.073074
45,-0.384483,0.281114,-1.218886,1.781114,none,0.000000,0,8.073074,8.073074,0.000000,8.073074
