t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,-0.569610,1.652133,-0.347867,3.652133,noise,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
2,1.025691,0.452788,-1.547212,2.452788,noise,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
3,1.833176,5.293225,3.293225,7.293225,noise,sell_to_mm,3.293225,1,-3.293225,-1.460049,0.010000,-1.470049
4,0.101203,3.522078,1.522078,5.522078,informed,sell_to_mm,1.522078,2,-4.815304,-4.612897,0.040000,-4.652897
5,1.905661,-0.727299,-2.727299,1.272701,noise,none,0.000000,2,-4.815304,-1.003982,0.040000,-1.043982
6,1.578715,3.232950,1.232950,5.232950,noise,none,0.000000,2,-4.815304,-1.657874,0.040000,-1.697874
7,-0.186342,3.820377,1.820377,5.820377,noise,buy_from_mm,5.820377,1,1.005073,0.818732,0.010000,0.808732
8,-0.542522,-0.793120,-2.793120,1.206880,noise,buy_from_mm,1.206880,0,2.211954,2.211954,0.000000,2.211954
9,0.225603,-0.408744,-2.408744,1.591256,informed,none,0.000000,0,2.211954,2.211954,0.000000,2.211954
10,-0.282697,-2.887384,-4.887384,-0.887384,informed,buy_from_mm,-0.887384,-1,1.324570,1.607268,0.010000,1.597268
11,-1.768998,-4.243283,-6.243283,-2.243283,noise,none,0.000000,-1,1.324570,3.093568,0.010000,3.083568
12,-3.714196,-7.343330,-9.343330,-5.343330,noise,sell_to_mm,-9.343330,0,10.667901,10.667901,0.000000,10.667901
13,-3.798854,-1.848006,-3.848006,0.151994,noise,none,0.000000,0,10.667901,10.667901,0.000000,10.667901
14,-4.392052,-0.229706,-2.229706,1.770294,informed,sell_to_mm,-2.229706,1,12.897607,8.505554,0.010000,8.495554
15,-4.918562,-2.929882,-4.929882,-0.929882,informed,none,0.000000,1,12.897607,7.979044,0.010000,7.969044
16,-6.481488,-6.689732,-8.689732,-4.689732,informed,none,0.000000,1,12.897607,6.416119,0.010000,6.406119
17,-5.598375,-1.842414,-3.842414,0.157586,noise,none,0.000000,1,12.897607,7.299232,0.010000,7.289232
18,-6.245851,-1.549664,-3.549664,0.450336,noise,none,0.000000,1,12.897607,6.651755,0.010000,6.641755
19,-6.015174,-4.880683,-6.880683,-2.880683,noise,buy_from_mm,-2.880683,0,10.016923,10.016923,0.000000,10.016923
20,-4.297962,-8.668246,-10.668246,-6.668246,noise,none,0.000000,0,10.016923,10.016923,0.000000,10.016923
21,-3.254053,-4.384880,-6.384880,-2.384880,informed,none,0.000000,0,10.016923,10.016923,0.000000,10.016923
22,-3.299721,-8.612745,-10.612745,-6.612745,informed,buy_from_mm,-6.612745,-1,3.404179,6.703900,0.010000,6.693900
23,-2.094291,-0.929285,-2.929285,1.070715,noise,none,0.000000,-1,3.404179,5.498470,0.010000,5.488470
24,-2.147023,-7.273072,-9.273072,-5.273072,informed,buy_from_mm,-5.273072,-2,-1.868893,2.425152,0.040000,2.385152
25,-2.023540,-0.887711,-2.887711,1.112289,noise,none,0.000000,-2,-1.868893,2.178186,0.040000,2.138186
26,-2.471691,1.240286,-0.759714,3.240286,informed,sell_to_mm,-0.759714,-1,-1.109179,1.362511,0.010000,1.352511
27,-1.783014,-1.840753,-3.840753,0.159247,noise,sell_to_mm,-3.840753,0,2.731573,2.731573,0.000000,2.731573
28,-2.022366,-6.671039,-8.671039,-4.671039,noise,none,0.000000,0,2.731573,2.731573,0.000000,2.731573
29,-2.520531,-6.377601,-8.377601,-4.377601,informed,buy_from_mm,-4.377601,-1,-1.646028,0.874503,0.010000,0.864503
30,-1.632187,-0.981534,-2.981534,1.018466,noise,none,0.000000,-1,-1.646028,-0.013840,0.010000,-0.023840
31,-0.076830,0.175320,-1.824680,2.175320,noise,none,0.000000,-1,-1.646028,-1.569197,0.010000,-1.579197
32,-0.307996,0.512151,-1.487849,2.512151,informed,none,0.000000,-1,-1.646028,-1.338032,0.010000,-1.348032
33,-0.900462,1.703527,-0.296473,3.703527,informed,sell_to_mm,-0.296473,0,-1.349555,-1.349555,0.000000,-1.349555
34,-0.480273,2.003242,0.003242,4.003242,noise,buy_from_mm,4.003242,-1,2.653687,3.133960,0.010000,3.123960
35,0.043047,4.575723,2.575723,6.575723,informed,sell_to_mm,2.575723,0,0.077964,0.077964,0.000000,0.077964
36,1.377481,0.263689,-1.736311,2.263689,informed,none,0.000000,0,0.077964,0.077964,0.000000,0.077964
37,-0.379918,1.736642,-0.263358,3.736642,noise,none,0.000000,0,0.077964,0.077964,0.000000,0.077964
38,-0.120973,-1.681937,-3.681937,0.318063,informed,none,0.000000,0,0.077964,0.077964,0.000000,0.077964
39,-2.480773,-3.758394,-5.758394,-1.758394,noise,sell_to_mm,-5.758394,1,5.836357,3.355584,0.010000,3.345584
40,-1.853331,1.455623,-0.544377,3.455623,noise,none,0.000000,1,5.836357,3.983026,0.010000,3.973026
41,-0.778044,-0.348276,-2.348276,1.651724,informed,none,0.000000,1,5.836357,5.058313,0.010000,5.048313
42,-0.733704,-3.301345,-5.301345,-1.301345,noise,none,0.000000,1,5.836357,5.102653,0.010000,5.092653
43,-0.831079,-5.122756,-7.122756,-3.122756,informed,buy_from_mm,-3.122756,0,2.713602,2.713602,0.000000,2.713602
44,0.287926,1.082199,-0.917801,3.082199,noise,none,0.000000,0,2.713602,2.713602,0.000000,2.713602
45,-0.384483,0.946711,-1.053289,2.946711,informed,none,0.000000,0,2.713602,2.713602,0.000000,2.713602
46,-0.761162,-1.954664,-3.954664,0.045336,informed,none,0.000000,0,2.713602,2.713602,0.000000,2.713602
47,-1.263749,-2.910490,-4.910490,-0.910490,noise,none,0.000000,0,2.713602,2.713602,0.000000,2.713602
48,-0.151737,2.533653,0.533653,4.533653,noise,none,0.000000,0,2.713602,2.713602,0.000000,2.713602
49,-1.111144,-1.130720,-3.130720,0.869280,informed,none,0.000000,0,2.713602,2.713602,0.000000,2.713602
50,-1.427445,-4.343626,-6.343626,-2.343626,noise,none,0.000000,0,2.713602,2.713602,0.000000,2.713602
51,-1.149593,-0.930298,-2.930298,1.069702,noise,none,0.000000,0,2.713602,2.713602,0.000000,2.713602
52,-1.132915,4.045499,2.045499,6.045499,noise,none,0.000000,0,2.713602,2.713602,0.000000,2.713602
53,-1.324979,-4.257660,-6.257660,-2.257660,informed,buy_from_mm,-2.257660,-1,0.455942,1.780921,0.010000,1.770921
