t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,-0.382056,0.470504,-1.529496,2.470504,noise,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
2,-2.068915,-0.768648,-2.768648,1.231352,informed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
3,0.154029,0.580052,-1.419948,2.580052,informed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
4,-0.644152,-2.594768,-4.594768,-0.594768,informed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
5,-2.659259,-1.786725,-3.786725,0.213275,noise,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
6,-3.480112,-5.712721,-7.712721,-3.712721,informed,buy_from_mm,-3.712721,-1,-3.712721,-0.232609,0.010000,-0.242609
7,-5.180709,-4.428311,-6.428311,-2.428311,informed,none,0.000000,-1,-3.712721,1.467988,0.010000,1.457988
8,-5.323155,-4.427232,-6.427232,-2.427232,noise,none,0.000000,-1,-3.712721,1.610434,0.010000,1.600434
9,-3.133373,-3.731832,-5.731832,-1.731832,noise,none,0.000000,-1,-3.712721,-0.579348,0.010000,-0.589348
10,-4.046318,-6.120485,-8.120485,-4.120485,informed,buy_from_mm,-4.120485,-2,-7.833206,0.259430,0.040000,0.219430
11,-4.479422,-5.610737,-7.610737,-3.610737,informed,none,0.000000,-2,-7.833206,1.125639,0.040000,1.085639
12,-3.428806,-0.259634,-2.259634,1.740366,noise,sell_to_mm,-2.259634,-1,-5.573572,-2.144765,0.010000,-2.154765
13,-4.451389,-5.229255,-7.229255,-3.229255,noise,none,0.000000,-1,-5.573572,-1.122183,0.010000,-1.132183
14,-3.899791,-4.293247,-6.293247,-2.293247,informed,none,0.000000,-1,-5.573572,-1.673781,0.010000,-1.683781
15,-4.061015,-3.089655,-5.089655,-1.089655,informed,none,0.000000,-1,-5.573572,-1.512556,0.010000,-1.522556
16,-2.165055,-0.390723,-2.390723,1.609277,informed,none,0.000000,-1,-5.573572,-3.408516,0.010000,-3.418516
17,-2.578988,0.894402,-1.105598,2.894402,informed,sell_to_mm,-1.105598,0,-4.467974,-4.467974,0.000000,-4.467974
18,-1.814475,-0.774510,-2.774510,1.225490,noise,none,0.000000,0,-4.467974,-4.467974,0.000000,-4.467974
19,-2.220822,-1.819732,-3.819732,0.180268,informed,none,0.000000,0,-4.467974,-4.467974,0.000000,-4.467974
20,-2.576059,-2.946180,-4.946180,-0.946180,noise,none,0.000000,0,-4.467974,-4.467974,0.000000,-4.467974
21,-2.419339,-2.335393,-4.335393,-0.335393,informed,none,0.000000,0,-4.467974,-4.467974,0.000000,-4.467974
22,-2.816119,-0.845149,-2.845149,1.154851,noise,none,0.000000,0,-4.467974,-4.467974,0.000000,-4.467974
23,-2.363472,-1.085348,-3.085348,0.914652,noise,none,0.000000,0,-4.467974,-4.467974,0.000000,-4.467974
24,-1.300434,-3.064506,-5.064506,-1.064506,informed,none,0.000000,0,-4.467974,-4.467974,0.000000,-4.467974
25,-1.215642,-1.985656,-3.985656,0.014344,noise,sell_to_mm,-3.985656,1,-0.482317,-1.697959,0.010000,-1.707959
26,-1.031489,2.692658,0.692658,4.692658,noise,sell_to_mm,0.692658,2,-1.174976,-3.237954,0.040000,-3.277954
27,-1.598725,-5.275811,-7.275811,-3.275811,informed,buy_from_mm,-3.275811,1,-4.450787,-6.049512,0.010000,-6.059512
28,-1.759521,1.724909,-0.275091,3.724909,informed,sell_to_mm,-0.275091,2,-4.175696,-7.694738,0.040000,-7.734738
29,-1.490723,-4.179200,-6.179200,-2.179200,informed,buy_from_mm,-2.179200,1,-6.354895,-7.845619,0.010000,-7.855619
